Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Afghanistan,1,-0.19478937935851698,-1.0416703275335506,-0.2705423601951442,0.0,0.0,0.0
Albania,1,-0.2624036993491947,0.3005973162830233,0.07946655499511757,0.0,1.0,1.0
Algeria,1,-0.1776651164671143,-0.4483589821489069,-0.11593207512234181,0.0,0.0,0.0
American Samoa,1,-0.9599079742867787,-0.2028564888435849,-0.06575179874292389,0.0,0.0,0.0
Andorra,1,-0.29977668732147433,-0.2028564888435849,-0.054162706746468725,0.0,0.0,0.0
Angola,1,-0.1611257589067601,-1.6280072486176345,-0.419160872091204,0.0,0.0,0.0
Antigua and Barbuda,1,-0.540370710782282,0.04174960440025661,0.011912384667382885,0.0,0.0,0.0
Argentina,1,0.34861761371982664,0.046091214210441024,0.010490269943071902,1.0,0.0,0.0
Armenia,1,-0.14097082049162404,0.21543500419635278,0.055181414462093986,0.0,0.0,1.0
Aruba,1,-0.2535353709689735,-0.2028564888435849,-0.05350214587370127,0.0,0.0,0.0
Australia,1,0.6731966518265895,2.1792112672947925,0.4618646288979339,1.0,1.0,1.0
Austria,1,0.5946340114908324,1.0004628373828595,0.21562966018651025,1.0,1.0,1.0
Azerbaijan,1,0.04267184454274208,0.08069528730302711,0.019740685480178412,0.0,0.0,0.0
Bahrain,1,-0.32866431414223524,0.45769977027825565,0.1231557939384088,0.0,1.0,1.0
Bangladesh,1,-0.25090223155375657,-0.7441963050230028,-0.19614096364718062,0.0,0.0,0.0
Barbados,1,-0.24610250412004275,-0.2028564888435849,-0.05339746693630559,0.0,0.0,0.0
Belarus,1,0.6976635682277519,0.8718254344006178,0.1838224996174164,1.0,1.0,1.0
Belgium,1,0.6859347502083851,1.0832727905241206,0.22897196218727248,1.0,1.0,1.0
Belize,1,-0.48552366588391915,-0.2028564888435849,-0.0569890481252088,0.0,0.0,0.0
Benin,1,-0.21008524546838286,-0.6146151146790285,-0.16026435815705362,0.0,0.0,0.0
Bermuda,1,-0.6557208714376517,-0.2028564888435849,-0.059850750920852756,0.0,0.0,0.0
Bhutan,1,-0.45330079996833306,-0.5090786472462785,-0.14173386634652607,0.0,0.0,0.0
Bolivia,1,0.25843667459177283,-0.2028564888435849,-0.047137230834696946,1.0,0.0,0.0
Bosnia and Herzegovina,1,0.24830943110872822,0.006940223529214148,0.0016164855384086171,1.0,0.0,0.0
Botswana,1,0.16193507823991782,-0.6937274417574255,-0.1648972549735306,0.0,0.0,0.0
Brazil,1,0.4121479830199564,-0.05667380805256671,-0.012714996482666103,1.0,0.0,0.0
British Virgin Islands,1,-0.8871769815278692,-0.2028564888435849,-0.06423744781695731,0.0,0.0,0.0
Brunei Darussalam,1,-0.09801704545216457,0.37063698524184735,0.0939016515792697,0.0,1.0,1.0
Bulgaria,1,0.3352011155992807,0.3098506087862591,0.07073739224924203,1.0,1.0,1.0
Burkina Faso,1,0.0342223812416278,-0.7342715851573153,-0.17999871325821726,0.0,0.0,0.0
Burundi,1,-0.32040615576916115,-0.44780048398582856,-0.12022499042863742,0.0,0.0,0.0
Cabo Verde,1,-0.3986899161526754,-0.2028564888435849,-0.055631937533141086,0.0,0.0,0.0
Cambodia,1,-0.3027179020465032,0.026075888635292338,0.0069677371762529704,0.0,0.0,0.0
Cameroon,1,-0.07213696238966047,-0.7327102484563811,-0.18442443720715862,0.0,0.0,0.0
Canada,1,0.4197383903225071,1.3321475730729582,0.298364562498294,1.0,1.0,1.0
Cayman Islands,1,-0.8466632368442164,-0.2028564888435849,-0.06342376752495735,0.0,0.0,0.0
Central African Republic,1,-0.6031578270629026,-1.2405394443897533,-0.36041913946299975,0.0,0.0,0.0
Chad,1,-0.2977266347747627,-1.8208388043394301,-0.4858982148801724,0.0,0.0,0.0
Chile,1,0.3691303632455869,0.47890254597707277,0.10849077336002867,1.0,1.0,1.0
China,1,0.3438294593519573,0.48656537665279104,0.11086214003112733,1.0,1.0,1.0
Colombia,1,0.18117076350347083,0.15242025063451944,0.03606500825034213,0.0,0.0,0.0
Comoros,1,-0.7561039903061304,-0.6649556493340888,-0.20217628387851283,0.0,0.0,0.0
"Congo, Dem. Rep.",1,-0.4183804416397132,-1.4823617371854407,-0.4087342364364068,0.0,0.0,0.0
"Congo, Rep.",1,-0.14570187495855422,-0.798952872211472,-0.2048916797432222,0.0,0.0,0.0
Costa Rica,1,0.21996750387946412,0.26909665560757434,0.06309327438213146,1.0,1.0,1.0
Croatia,1,-0.030788362720219054,0.8264928260340912,0.20588690339299953,0.0,1.0,1.0
Cuba,1,0.4715332733107742,-0.20214537580964076,-0.04475583040888544,1.0,0.0,0.0
Cyprus,1,0.10348123271851503,0.9677428402194337,0.23327116762786015,0.0,1.0,1.0
Czechia,1,0.5943158381854218,1.0497446385456883,0.2262668785502092,1.0,1.0,1.0
C�te d�Ivoire,1,0.04513099205402378,-0.8887666908462636,-0.21729044996827426,0.0,0.0,0.0
Denmark,1,0.44529587192490855,1.0784778104833344,0.24017468280966076,1.0,1.0,1.0
Djibouti,1,-0.9762498968438063,-0.2028564888435849,-0.06610193416509984,0.0,0.0,0.0
Dominica,1,-0.6021278592946602,-0.015326897231931159,-0.004451655763033171,0.0,0.0,0.0
Dominican Republic,1,0.0998335013804834,-0.7406707999202021,-0.17869333378760702,0.0,0.0,0.0
Ecuador,1,-0.01884942321486335,0.1692894390036924,0.042046493328313984,0.0,0.0,0.0
"Egypt, Arab Rep.",1,1.614128868959949,0.00630767935452197,0.0011145841415342657,1.0,0.0,0.0
El Salvador,1,-0.055296205272501564,0.11209770495465429,0.028096091226900488,0.0,0.0,0.0
Eritrea,1,-0.5623674415549254,-0.2028564888435849,-0.058246469388632524,0.0,0.0,0.0
Estonia,1,0.2694692073391548,1.283141778013787,0.29739788373255793,1.0,1.0,1.0
Eswatini,1,-0.12022918746036582,-0.6729717981690388,-0.17146371641436478,0.0,0.0,0.0
Ethiopia,1,0.1640018826264349,-1.3691433755877005,-0.32528210821864173,0.0,0.0,0.0
Fiji,1,-0.3436371712769074,-0.3698661258182502,-0.09992449094042408,0.0,0.0,0.0
Finland,1,0.4022420267874269,1.2376650435352285,0.2782936151020762,1.0,1.0,1.0
France,1,0.8625986917759594,1.1131986147953588,0.2268273155881924,1.0,1.0,1.0
Gabon,1,-0.3554539188896303,-0.054288129661538766,-0.014713667952088595,0.0,0.0,0.0
"Gambia, The",1,-0.7904176880041086,-0.9189937545769398,-0.2823610847901912,0.0,0.0,0.0
Georgia,1,-0.13128770575267792,-0.0320486626494421,-0.008188618814042453,0.0,0.0,0.0
Germany,1,1.142087265365902,1.1962327604867509,0.23061328415354293,1.0,1.0,1.0
Ghana,1,0.10664273079258535,-1.186370352917351,-0.2857528334573439,0.0,0.0,0.0
Gibraltar,1,0.40833091745097694,-0.2028564888435849,-0.04555067651614161,1.0,0.0,0.0
Greece,1,0.25566470208130265,0.6535846179184663,0.15196963136323455,1.0,1.0,1.0
Grenada,1,-0.3118859754129241,-0.07329784552092262,-0.019634013835036008,0.0,0.0,0.0
Guatemala,1,-0.18988654699061813,-0.33335841771831465,-0.08646965870375152,0.0,0.0,0.0
Guinea,1,-0.34029922888819486,-0.7031486428721413,-0.1897942550076178,0.0,0.0,0.0
Guyana,1,-0.25117309197191123,-0.6885224802026105,-0.18148048213843657,0.0,0.0,0.0
Haiti,1,-1.1646102311949365,-0.9909957104477091,-0.3440380188605789,0.0,0.0,0.0
Honduras,1,-0.5483171372421053,-0.4045738679873662,-0.11569910160847462,0.0,0.0,0.0
"Hong Kong SAR, China",1,0.7670988158131031,1.365575299734116,0.28377405736201267,1.0,1.0,1.0
Hungary,1,0.5850728837710328,0.8557081280077279,0.1848115342248812,1.0,1.0,1.0
Iceland,1,0.3807010611998702,0.917088316277223,0.20721439545623432,1.0,1.0,1.0
India,1,0.6136635867212782,-0.21694291593303097,-0.04656669541198913,1.0,0.0,0.0
Indonesia,1,0.42284077552556537,0.03739460796871547,0.008369552191034302,1.0,0.0,0.0
"Iran, Islamic Rep.",1,0.3429954546960741,0.17809118689214776,0.04058513722976227,1.0,0.0,0.0
Iraq,1,-0.3690867611031114,-1.3141478904892732,-0.35749334328576443,0.0,0.0,0.0
Ireland,1,0.34288902831998325,1.2533973126377655,0.285643195553449,1.0,1.0,1.0
Israel,1,0.565860045314569,0.7984458713814705,0.17316285819115182,1.0,1.0,1.0
Italy,1,0.7298271830186454,0.8626888541460271,0.18067082909781307,1.0,1.0,1.0
Jamaica,1,0.1178357992179491,-0.32159219071752815,-0.07725142035610329,0.0,0.0,0.0
Japan,1,0.7138257421220146,1.5720094534301072,0.3303290974907979,1.0,1.0,1.0
Jordan,1,-0.14654404384779476,0.21283635922302638,0.05459373262530239,0.0,0.0,1.0
Kazakhstan,1,-0.0051078585328007365,0.20457102752943235,0.050636574621712234,0.0,0.0,0.0
Kenya,1,0.22044061939793438,0.16989903792231636,0.03983066096173948,1.0,0.0,0.0
Kiribati,1,-0.8519258633349469,-0.1003800355514657,-0.03143588162024131,0.0,0.0,0.0
"Korea, Rep.",1,0.5374219397447926,1.3200474253336083,0.28806176035923414,1.0,1.0,1.0
Kuwait,1,0.37467362443412777,-0.29876442457323965,-0.06759732477755079,1.0,0.0,0.0
Kyrgyz Republic,1,0.21655135956818813,0.164106389268619,0.038507759305354224,1.0,0.0,0.0
Lao PDR,1,-0.1439688435576916,-0.6156743011651613,-0.15781969991063713,0.0,0.0,0.0
Latvia,1,0.2824953156230619,0.9836762962524502,0.22730355609669992,1.0,1.0,1.0
Lebanon,1,-0.33429907408108267,-0.40448186247291,-0.10900142418232091,0.0,0.0,0.0
Lesotho,1,-0.15951145450009843,-0.702453391111115,-0.18078460509445665,0.0,0.0,0.0
Liberia,1,-0.6467827845870022,-2.3732863605450603,-0.6983724132714335,0.0,0.0,0.0
Liechtenstein,1,-0.48145411630353635,-0.2028564888435849,-0.05692396865426632,0.0,0.0,0.0
Lithuania,1,0.3711876840599089,0.940084099369187,0.21286781549717243,1.0,1.0,1.0
Luxembourg,1,0.2630293572394943,0.7750430464552626,0.17990273178486865,1.0,1.0,1.0
"Macao SAR, China",1,-0.27428421023152105,1.3641704888847233,0.3617712891784327,0.0,1.0,1.0
Madagascar,1,-0.3303603530646486,-1.0896088946282925,-0.293320917373014,0.0,0.0,0.0
Malawi,1,-0.44152355922621367,-1.1429737754811555,-0.31717819754644905,0.0,0.0,0.0
Malaysia,1,0.20111212870515102,0.3636453913266454,0.08564008311242198,0.0,1.0,1.0
Maldives,1,-0.21801411892981917,-0.2028564888435849,-0.05300556268678307,0.0,0.0,0.0
Mali,1,-0.086282262273062,-2.123631681889456,-0.5364316778955053,0.0,0.0,0.0
Malta,1,0.21712215652876593,0.7196845568974716,0.16885222096202646,1.0,1.0,1.0
Marshall Islands,1,-0.5187125057242913,-0.681281026376013,-0.19319553210891152,0.0,0.0,0.0
Mauritania,1,-0.8616004436835921,-1.2860079972628056,-0.40396131838910637,0.0,0.0,0.0
Mauritius,1,-0.17387950093148205,0.5186589050063771,0.13397836526799645,0.0,1.0,1.0
Mexico,1,0.5138837547709872,0.2552488879560891,0.055988192371649405,1.0,1.0,1.0
"Micronesia, Fed. Sts.",1,-0.25809784897553756,-0.35742612481308433,-0.09438250543845367,0.0,0.0,0.0
Moldova,1,0.24546982170269893,0.23238686174722284,0.0541623212797823,1.0,1.0,0.0
Monaco,1,-0.566107330950048,-0.2028564888435849,-0.058309083998489136,0.0,0.0,0.0
Mongolia,1,0.03608864745956786,0.33163474079235616,0.08125948312110892,0.0,1.0,1.0
Morocco,1,0.0338250614493003,-0.49637369715992125,-0.12169247956419041,0.0,0.0,0.0
