INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_outlier,Year,Value,val_std,mu,sd,z
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",FIN,Finland,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,4158.7919921875,8.333220350127169,6.758659794271764,2.432254157536862,0.6473667856528443
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",FRA,France,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,40750.18359375,10.615240163492603,6.758659794271764,2.432254157536862,1.585599250502007
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GAB,Gabon,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Upper middle income,IBRD,false,2014,225.7434234619141,5.4238190850990655,6.758659794271764,2.432254157536862,-0.548808069681537
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GBR,United Kingdom,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,57096.078125,10.95250822314392,6.758659794271764,2.432254157536862,1.7242640601010446
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GEO,Georgia,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,Upper middle income,IBRD,false,2012,239.8242340087891,5.4840673479422275,6.758659794271764,2.432254157536862,-0.524037523948695
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GHA,Ghana,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Lower middle income,IDA,false,2014,1447.15185546875,7.278043440008211,6.758659794271764,2.432254157536862,0.21354003820983308
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GIN,Guinea,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Lower middle income,IDA,false,2020,360.6969604492188,5.890806735409385,6.758659794271764,2.432254157536862,-0.3568101862106594
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GMB,"Gambia, The","Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Low income,IDA,false,2015,51.99686813354492,3.9702328199862245,6.758659794271764,2.432254157536862,-1.1464373349491455
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GNB,Guinea-Bissau,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Low income,IDA,false,2013,30.89253997802734,3.4623721259539355,6.758659794271764,2.432254157536862,-1.3552398124610343
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GNQ,Equatorial Guinea,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Upper middle income,IBRD,false,1998,20.60980987548828,3.0731473724925067,6.758659794271764,2.432254157536862,-1.5152661617861376
