Indicator name,non_null_values,countries_covered,years_covered
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, female (%)",52,4,25
"Population of compulsory school age, female (number)",52,2,26
"Enrolment in primary education, female (number)",52,1,52
Percentage of enrolment in early childhood education programmes in private institutions (%),51,4,24
Theoretical duration of early childhood educational development (years),51,2,26
"Asia: Students from the Republic of Korea, both sexes (number)",51,3,25
"Repeaters in Grade 6 of primary education, male (number)",51,2,38
"Caribbean and Central America: Students from Dominican Republic, both sexes (number)",50,3,24
"Survival rate to Grade 4 of primary education, both sexes (%)",49,2,38
"Repeaters in Grade 4 of primary education, both sexes (number)",49,2,35
"Africa: Students from Burundi, both sexes (number)",48,3,24
"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)",48,1,48
"Government expenditure on tertiary education, constant PPP$ (millions)",48,3,29
"Repeaters in Grade 5 of primary education, female (number)",48,1,48
"Enrolment in post-secondary non-tertiary education, male (number)",48,3,25
"Government expenditure on primary education, PPP$ (millions)",48,3,31
"Asia: Students from Malaysia, both sexes (number)",47,2,25
"Enrolment in secondary education, both sexes (number)",47,1,47
"Repeaters in grade unknown of lower secondary general education, male (number)",47,1,47
"Africa: Students from Tunisia, both sexes (number)",47,2,25
"Gross enrolment ratio, primary and secondary, both sexes (%)",46,1,46
"Out-of-school children of primary school age, male (number)",45,3,27
"Europe: Students from unknown countries, both sexes (number)",45,2,24
"Caribbean and Central America: Students from Guatemala, both sexes (number)",45,2,24
"Caribbean and Central America: Students from Saint Vincent and the Grenadines, both sexes (number)",45,3,25
"Asia: Students from Singapore, both sexes (number)",45,5,23
"Repetition rate in Grade 4 of primary education, both sexes (%)",45,1,45
"Africa: Students from the Central African Republic, both sexes (number)",45,3,24
"Youth literacy rate, population 15-24 years, female (%)",44,3,26
"Repeaters in grade unknown of primary education, male (number)",44,2,24
"School life expectancy, secondary, both sexes (years)",44,2,41
Initial government funding per pre-primary student as a percentage of GDP per capita,44,3,26
"Repetition rate in Grade 7 of primary education, male (%)",43,3,25
"School life expectancy, primary and lower secondary, female (years)",43,2,26
"Repeaters in Grade 6 of lower secondary general education, male (number)",43,1,43
"Teachers in post-secondary non-tertiary education, male (number)",43,4,24
"Youth literacy rate, population 15-24 years, both sexes (%)",42,3,23
"Caribbean and Central America: Students from Dominica, both sexes (number)",42,2,22
"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",42,2,23
"Outbound mobility ratio to East Asia and the Pacific, both sexes (%)",42,2,22
"Enrolment in pre-primary education, both sexes (number)",42,1,42
"Percentage of graduates from tertiary education graduating from Information and Communication Technologies programmes, both sexes (%)",41,3,23
