Indicator name,non_null_values,countries_covered,years_covered
"Completion rate, upper secondary education, urban, female, adjusted wealth parity index (WPIA)",18,1,18
"Europe: Students from Gibraltar, both sexes (number)",17,1,17
"Enrolment in post-secondary non-tertiary education, female (number)",17,1,17
"Oceania: Students from Australia, both sexes (number)",17,2,15
"Government expenditure on upper secondary education, constant PPP$ (millions)",17,2,13
"Teachers in tertiary education ISCED 5 programmes, male (number)",17,1,17
Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),17,1,17
"Asia: Students from Indonesia, both sexes (number)",17,2,16
"Percentage of graduates from tertiary education graduating from Business, Administration and Law  programmes, both sexes (%)",17,2,17
"Teachers in tertiary education ISCED 6, 7 and 8 programmes, female (number)",17,2,12
Non-teaching staff compensation as a percentage of total expenditure in secondary public institutions (%),17,1,17
Percentage of enrolment in secondary education in private institutions (%),17,1,17
"Percentage of graduates from tertiary education graduating from programmes in unspecified fields, both sexes (%)",17,2,16
"Literacy rate, population 25-64 years, female (%)",17,2,15
"Teachers in lower secondary education, both sexes (number)",16,4,15
"Teachers in early childhood educational development programmes, female (number)",16,1,16
"Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)",16,1,16
"Oceania: Students from Nauru, both sexes (number)",16,2,14
Percentage of enrolment in upper secondary education in private institutions (%),16,2,15
"Educational attainment rate, completed primary education or higher, population 25+ years, male (%)",16,1,16
"Africa: Students from Ghana, both sexes (number)",16,2,15
"Gross attendance ratio for tertiary education, both sexes (%)",16,1,16
"Government expenditure on pre-primary education, constant US$ (millions)",16,1,16
"Gross attendance ratio for tertiary education, male (%)",16,1,16
"Gross enrolment ratio, post-secondary non-tertiary, female (%)",16,1,16
"Completion rate, upper secondary education, rural, female (%)",16,1,16
"Completion rate, lower secondary education, rural, male (%)",16,1,16
"Completion rate, lower secondary education, urban, female (%)",16,3,12
"Inbound mobility rate, both sexes (%)",16,1,16
"Inbound internationally mobile students from North America, both sexes (number)",16,2,15
Current expenditure other than staff compensation as a percentage of total expenditure in public institutions (%),15,1,15
"Europe: Students from Albania, both sexes (number)",15,1,15
"Out-of-school children, one year younger than official primary entry age, male (number)",15,1,15
"Percentage of qualified teachers in lower secondary education, both sexes (%)",15,2,10
"Teachers in tertiary education ISCED 5 programmes, female (number)",15,2,15
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, both sexes (%)",15,3,8
"Out-of-school rate for youth of upper secondary school age, middle quintile, female, adjusted location parity index (household survey data) (LPIA)",15,4,10
Pupil-qualified teacher ratio in pre-primary education (headcount basis),15,2,9
Initial government funding per secondary student as a percentage of GDP per capita,15,1,15
"Completion rate, upper secondary education, rural, middle quintile, adjusted gender parity index (GPIA)",15,2,14
"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, both sexes (%)",15,3,7
Harmonized Test Scores,15,4,4
"Completion rate, upper secondary education, urban, female (%)",15,2,13
Pupil-trained teacher ratio in lower secondary education (headcount basis),15,2,14
"Proportion of teachers with the minimum required qualifications in secondary education, female (%)",15,2,12
"Repeaters in Grade 1 of lower secondary general education, male (number)",15,1,15
"Oceania: Students from Tokelau, both sexes (number)",14,2,14
"Enrolment in early childhood educational development programmes, both sexes (number)",14,1,14
"Africa: Students from Sudan (pre-secession), both sexes (number)",14,2,13
"Youth literacy rate, population 15-24 years, adjusted gender parity index (GPIA)",14,4,13
"Caribbean and Central America: Students from Barbados, both sexes (number)",14,2,14
"Repetition rate in Grade 7 of primary education, female (%)",14,2,14
"Adult illiterate population, 15+ years, female (number)",14,3,10
"Europe: Students from Monaco, both sexes (number)",14,2,12
"Out-of-school children, one year before than official primary entry age, both sexes (number)",14,1,14
"Outbound mobility ratio to sub-Saharan Africa, both sexes (%)",14,1,14
"Out-of-school rate for youth of upper secondary school age, rural, richest quintile, female (household survey data) (%)",14,3,9
"Completion rate, upper secondary education, poorest quintile, both sexes (%)",14,1,14
"Repetition rate in Grade 1 of primary education, male (%)",14,1,14
"Caribbean and Central America: Students from Nicaragua, both sexes (number)",14,2,13
"Gross intake ratio to the last grade of primary education, female (%)",14,1,14
"Completion rate, primary education, rural, female (%)",14,1,14
"Oceania: Students from New Zealand, both sexes (number)",13,1,13
"Repetition rate in lower secondary general education (all grades), female (%)",13,1,13
"Total net attendance rate, lower secondary, urban, fourth quintile, both sexes (%)",13,1,13
"Completion rate, primary education, rural, middle quintile, male (%)",13,1,13
"Completion rate, upper secondary education, rural, female, adjusted wealth parity index (WPIA)",13,1,13
"Survival rate to the last grade of primary education, male (%)",13,1,13
"Completion rate, primary education, adjusted wealth parity index (WPIA)",13,3,11
"Completion rate, lower secondary education, rural, adjusted wealth parity index (WPIA)",13,1,13
"Completion rate, upper secondary education, urban, both sexes (%)",13,2,10
Current expenditure as a percentage of total expenditure in secondary public institutions (%),13,1,13
Share of all students in upper secondary education enrolled in vocational programmes (%),13,1,13
"School age population, post-secondary non-tertiary education, female (number)",13,1,13
Current expenditure other than staff compensation as a percentage of total expenditure in primary public institutions (%),13,1,13
"Total net attendance rate, primary, rural, middle quintile, both sexes (%)",13,1,13
"Youth literacy rate, population 15-24 years, male (%)",13,1,13
"Adjusted net attendance rate, one year before the official primary entry age, rural, both sexes (%)",13,2,12
"Adult literacy rate, population 15+ years, both sexes (%)",13,1,13
Proportion of upper secondary schools with access to electricity (%),13,3,8
"South America: Students from Guyana, both sexes (number)",13,2,12
"Gross intake ratio to the last grade of primary education, both sexes (%)",13,1,13
"Europe: Students from France, both sexes (number)",13,2,9
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",12,1,12
"Government expenditure on primary education, constant US$ (millions)",12,2,8
"Completion rate, lower secondary education, rural, adjusted gender parity index (GPIA)",12,2,11
Capital expenditure as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),12,1,12
"Repeaters in Grade 6 of primary education, both sexes (number)",12,1,12
"Repeaters in Grade 3 of lower secondary general education, female (number)",12,1,12
"Completion rate, upper secondary education, rural, poorest quintile, male (%)",12,3,10
"Completion rate, upper secondary education, female (%)",12,2,10
"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",12,2,10
Proportion of primary schools with single-sex basic sanitation facilities (%),12,2,8
"Teachers in tertiary education programmes, male (number)",12,1,12
"Outbound mobility ratio to Central and Eastern Europe, both sexes (%)",12,1,12
"Outbound mobility ratio to Latin America and the Caribbean, both sexes (%)",12,2,11
"Out-of-school rate for children of primary school age, urban, richest quintile, female (household survey data) (%)",12,2,11
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, female (%)",12,3,10
"Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, adjusted gender parity index (GPIA)",12,3,9
"Out-of-school rate for youth of upper secondary school age, rural, adjusted wealth parity index (household survey data) (WPIA)",12,1,12
Non-teaching staff compensation as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),12,1,12
"Adjusted net attendance rate, one year before the official primary entry age, female, adjusted location parity index (LPIA)",12,3,10
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, male (household survey data) (%)",12,2,10
"Youth illiterate population, 15-24 years, % female",12,2,11
"School age population, post-secondary non-tertiary education, both sexes (number)",11,1,11
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, both sexes (%)",11,2,11
"Teachers in post-secondary non-tertiary education, both sexes (number)",11,3,11
"Europe: Students from Portugal, both sexes (number)",11,1,11
"Out-of-school adolescents of lower secondary school age, female (number)",11,2,11
"Out-of-school adolescents and youth of secondary school age, female (number)",11,1,11
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, adjusted gender parity index (GPIA)",11,1,11
"Out-of-school rate for adolescents of lower secondary school age, middle quintile, both sexes (household survey data) (%)",11,2,10
"Asia: Students from Cyprus, both sexes (number)",11,2,7
"Africa: Students from Malawi, both sexes (number)",11,2,11
"Completion rate, upper secondary education, fourth quintile, male, adjusted location parity index (LPIA)",11,1,11
End month of the academic school year (tertiary education),11,1,11
Pupil-qualified teacher ratio in upper secondary (headcount basis),11,3,7
"Repetition rate in Grade 2 of primary education, male (%)",11,1,11
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, male (%)",11,1,11
"Completion rate, upper secondary education, rural, richest quintile, female (%)",11,4,11
"Completion rate, upper secondary education, urban, poorest quintile, male (%)",11,4,9
"Completion rate, upper secondary education, middle quintile, female, adjusted location parity index (LPIA)",11,1,11
"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",11,3,4
"Total net enrolment rate, lower secondary, both sexes (%)",11,1,11
All staff compensation as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),11,1,11
"Completion rate, lower secondary education, rural, second quintile, adjusted gender parity index (GPIA)",11,1,11
"South America: Students from Chile, both sexes (number)",11,1,11
"Completion rate, primary education, richest quintile, male, adjusted location parity index (LPIA)",11,2,10
"School age population, early childhood educational development programmes, both sexes (number)",11,1,11
"Caribbean and Central America: Students from Panama, both sexes (number)",11,1,11
"Out-of-school rate for youth of upper secondary school age, richest quintile, male, adjusted location parity index (household survey data) (LPIA)",10,3,9
"Out-of-school rate for youth of upper secondary school age, poorest quintile, male, adjusted location parity index (household survey data) (LPIA)",10,3,8
"Asia: Students from Qatar, both sexes (number)",10,1,10
Current expenditure as a percentage of total expenditure in public institutions (%),10,1,10
"Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)",10,1,10
"Africa: Students from Egypt, both sexes (number)",10,1,10
Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),10,1,10
"Outbound internationally mobile tertiary students studying in the Arab States, both sexes (number)",10,1,10
"Enrolment in tertiary education, ISCED 7 programmes, female (number)",10,1,10
"Percentage of qualified teachers in lower secondary education, female (%)",10,1,10
"Government expenditure on pre-primary education, constant PPP$ (millions)",10,1,10
"Asia: Students from Israel, both sexes (number)",10,2,9
LPGAP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading;,10,2,5
"Africa: Students from the Gambia, both sexes (number)",10,1,10
"Caribbean and Central America: Students from the British Virgin Islands, both sexes (number)",10,1,10
"Caribbean and Central America: Students from the Netherlands Antilles, both sexes (number)",10,1,10
"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",10,3,8
"Oceania: Students from Niue, both sexes (number)",10,1,10
LDGAP: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,10,2,5
"Out-of-school rate for adolescents of lower secondary school age, second quintile, male (household survey data) (%)",10,2,8
"Out-of-school rate for adolescents of lower secondary school age, urban, male (household survey data) (%)",10,2,9
SD = ANER; Male,10,2,5
"Caribbean and Central America: Students from Mexico, both sexes (number)",10,1,10
"Repetition rate in Grade 5 of primary education, male (%)",10,2,9
"Survival rate to Grade 4 of primary education, female (%)",10,1,10
"Adult illiterate population, 15+ years, both sexes (number)",10,1,10
All staff compensation as a percentage of total expenditure in public institutions (%),10,1,10
Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),10,1,10
Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),10,1,10
"Teachers in tertiary education ISCED 5 programmes, both sexes (number)",10,1,10
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, did not speak the language of the test at home, both sexes (%)",10,2,8
"Out-of-school rate for youth of upper secondary school age, rural, poorest quintile, both sexes (household survey data) (%)",9,2,8
"Out-of-school rate for youth of upper secondary school age, male (%)",9,2,9
"Africa: Students from Niger, both sexes (number)",9,1,9
"Africa: Students from Botswana, both sexes (number)",9,1,9
"Africa: Students from Namibia, both sexes (number)",9,1,9
"Europe: Students from Germany, both sexes (number)",9,1,9
"Mean years of schooling (ISCED 1 or higher), population 25+ years, female",9,1,9
"Europe: Students from Slovenia, both sexes (number)",9,1,9
"Government expenditure on education not specified by level, constant PPP$ (millions)",9,1,9
"Enrolment in tertiary education, ISCED 7 programmes, male (number)",9,1,9
"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",9,1,9
"Total net attendance rate, primary education, urban, adjusted wealth parity index (WPIA)",9,2,8
"Total net attendance rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)",9,2,9
"Out-of-school rate for youth of upper secondary school age, second quintile, female (household survey data) (%)",9,2,8
"Total net attendance rate, lower secondary, urban, both sexes (%)",9,2,8
"Gross enrolment ratio, primary to tertiary, both sexes (%)",9,1,9
"South America: Students from Colombia, both sexes (number)",9,2,7
"Africa: Students from the United Republic of Tanzania, both sexes (number)",9,1,9
"Asia: Students from Bhutan, both sexes (number)",9,1,9
"Asia: Students from Kuwait, both sexes (number)",9,1,9
"Inbound internationally mobile students from Asia, both sexes (number)",9,1,9
"Inbound internationally mobile students from the Caribbean and Central America, both sexes (number)",9,2,7
"Completion rate, lower secondary education, poorest quintile, both sexes (%)",9,2,9
Initial household funding per secondary student as a percentage of GDP per capita,9,1,9
Initial government funding per primary student as a percentage of GDP per capita,9,1,9
"Out-of-school rate for adolescents of lower secondary school age, both sexes (household survey data) (%)",9,2,9
"Completion rate, upper secondary education, middle quintile, both sexes (%)",9,3,8
"Out-of-school rate for children of primary school age, rural, fourth quintile, male (household survey data) (%)",9,4,6
"Total net attendance rate, primary, rural, poorest quintile, male (%)",9,2,8
"Completion rate, primary education, poorest quintile, female (%)",9,4,8
"Government expenditure on education, constant US$ (millions)",9,1,9
All staff compensation as a percentage of total expenditure in primary public institutions (%),9,1,9
Proportion of primary schools with access to electricity (%),9,1,9
"School life expectancy, post-secondary non-tertiary, male (years)",9,1,9
"Percentage of qualified teachers in pre-primary education, both sexes (%)",9,1,9
"Africa: Students from Equatorial Guinea, both sexes (number)",9,1,9
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, female (%)",9,2,8
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, both sexes (%)",9,2,8
Proportion of upper secondary schools with access to basic drinking water (%),9,1,9
Capital expenditure as a percentage of total expenditure in primary public institutions (%),9,2,9
Percentage of lower secondary schools providing life skills-based HIV and sexuality education,8,2,7
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female, adjusted location parity index (LPIA)",8,2,8
"Percentage of qualified teachers in upper secondary education, both sexes (%)",8,1,8
"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",8,1,8
Pupil-trained teacher ratio in pre-primary education (headcount basis),8,1,8
Capital expenditure as a percentage of total expenditure in tertiary public institutions (%),8,1,8
"Proportion of teachers with the minimum required qualifications in primary education, female (%)",8,2,8
"Probability of Survival to Age 5, Female",8,2,4
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, female (%)",8,1,8
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",8,4,5
"Africa: Students from Mali, both sexes (number)",8,1,8
"Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)",8,1,8
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)",8,1,8
"Government expenditure on lower secondary education, PPP$ (millions)",8,1,8
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, male (%)",8,1,8
"Total net attendance rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)",8,3,5
"Total net attendance rate, lower secondary, male (%)",8,3,8
"Total net attendance rate, lower secondary, adjusted wealth parity index (WPIA)",8,3,7
"Africa: Students from Mauritania, both sexes (number)",8,1,8
"Out-of-school rate for children of primary school age, urban, second quintile, male (household survey data) (%)",8,1,8
"Oceania: Students from Tonga, both sexes (number)",8,1,8
"Percentage of qualified teachers in upper secondary education, female (%)",8,1,8
"Completion rate, upper secondary education, urban, adjusted wealth parity index (WPIA)",8,2,5
"Completion rate, primary education, urban, second quintile, male (%)",8,1,8
LDSEV: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading;,8,2,5
"Completion rate, upper secondary education, urban, fourth quintile, male (%)",8,2,8
"Out-of-school rate for adolescents of lower secondary school age, second quintile, both sexes (household survey data) (%)",8,2,8
"Initial household funding per tertiary student, constant PPP$",8,1,8
"Completion rate, upper secondary education, male, adjusted wealth parity index (WPIA)",8,3,7
"Completion rate, primary education, rural, male (%)",8,1,8
"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)",8,2,8
"Total net attendance rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)",8,1,8
"Out-of-school rate for children of primary school age, rural, poorest quintile, male (household survey data) (%)",8,2,7
"Out-of-school rate for children of primary school age, rural, middle quintile, both sexes (household survey data) (%)",8,2,6
"Out-of-school rate for children of primary school age, both sexes (%)",8,1,8
"Expected Years of School, Male",7,2,4
"Total net attendance rate, upper secondary, rural, second quintile, both sexes (%)",7,2,7
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",7,1,7
"Enrolment in tertiary education, ISCED 6 programmes, male (number)",7,1,7
"Enrolment in lower secondary education, female (number)",7,1,7
"Out-of-school rate for youth of upper secondary school age, second quintile, adjusted gender parity index (household survey data) (GPIA)",7,2,6
"School age population, early childhood educational development programmes, male (number)",7,1,7
"Repetition rate in Grade 6 of primary education, male (%)",7,1,7
Initial government funding per upper secondary student as a percentage of GDP per capita,7,1,7
"Out-of-school rate for adolescents of lower secondary school age, urban, richest quintile, both sexes (household survey data) (%)",7,2,6
"Out-of-school rate for adolescents of lower secondary school age, urban, second quintile, both sexes (household survey data) (%)",7,2,7
"Total net attendance rate, lower secondary, urban, fourth quintile, male (%)",7,2,6
"Out-of-school rate for children of primary school age, fourth quintile, both sexes (household survey data) (%)",7,3,7
"Adult literacy rate, population 15+ years, male (%)",7,1,7
"Adjusted net attendance rate, one year before the official primary entry age, urban, male  (%)",7,4,7
"Total net attendance rate, lower secondary, middle quintile, female (%)",7,2,6
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",7,1,7
"Total net attendance rate, lower secondary education, rural, female, adjusted wealth parity index (WPIA)",7,2,6
"Total net attendance rate, lower secondary, rural, second quintile, male (%)",7,3,6
"Asia: Students from Macao, Special Administrative Region of China, both sexes (number)",7,1,7
"Total net attendance rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)",7,1,7
"Total net attendance rate, lower secondary education, fourth quintile, male, adjusted location parity index (LPIA)",7,3,5
"Government expenditure on secondary education, US$ (millions)",7,1,7
Proportion of primary schools with access to basic drinking water (%),7,1,7
"Caribbean and Central America: Students from Costa Rica, both sexes (number)",7,1,7
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, female (%)",7,1,7
Proportion of upper secondary schools with access to adapted infrastructure and materials for students with disabilities (%),7,1,7
"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",7,3,6
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, female (%)",7,2,6
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, both sexes (%)",7,2,7
Pupil-trained teacher ratio in primary education (headcount basis),7,1,7
"Completion rate, lower secondary education, middle quintile, male (%)",7,1,7
"Completion rate, lower secondary education, poorest quintile, male (%)",7,1,7
"Completion rate, lower secondary education, female, adjusted location parity index (LPIA)",7,2,7
"Out-of-school rate for adolescents of lower secondary school age, female, adjusted location parity index (household survey data) (LPIA)",7,2,7
"Out-of-school rate for adolescents of lower secondary school age, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",7,2,7
"Completion rate, upper secondary education, rural, middle quintile, both sexes (%)",7,2,7
"Harmonized Test Scores, Female",7,2,4
"Harmonized Test Scores, Male",7,2,4
"Completion rate, upper secondary education, urban, richest quintile, female (%)",7,1,7
"Completion rate, upper secondary education, urban, richest quintile, male (%)",7,2,6
"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",7,2,4
"Literacy rate, population 25-64 years, both sexes (%)",7,1,7
"Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, male (household survey data) (%)",7,2,7
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, male (household survey data) (%)",7,2,6
"Total net attendance rate, primary, middle quintile, both sexes (%)",7,2,7
"Out-of-school rate for adolescents of lower secondary school age, rural, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",7,1,7
"Total net attendance rate, primary education, urban, middle quintile, adjusted gender parity index (GPIA)",7,1,7
"Youth illiterate population, 15-24 years, female (number)",7,1,7
"Out-of-school rate for children of primary school age, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",7,1,7
"Total net attendance rate, upper secondary education, urban, second quintile, adjusted gender parity index (GPIA)",6,2,6
"Total net attendance rate, primary, fourth quintile, male (%)",6,1,6
"Total net attendance rate, primary, poorest quintile, both sexes (%)",6,1,6
"Total net attendance rate, primary, fourth quintile, both sexes (%)",6,3,5
"Total net attendance rate, lower secondary, urban, richest quintile, male (%)",6,2,5
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted gender parity index (GPIA)",6,3,5
"Adjusted net attendance rate, one year before the official primary entry age, adjusted location parity index (LPIA)",6,3,6
"Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, female (household survey data) (%)",6,2,5
"Out-of-school rate for children of primary school age, richest quintile, adjusted location parity index (household survey data) (LPIA)",6,2,6
"Out-of-school rate for youth of upper secondary school age, urban, female, adjusted wealth parity index (household survey data) (WPIA)",6,2,6
"Mean years of schooling (ISCED 1 or higher), population 25+ years, male",6,1,6
"Out-of-school rate for youth of upper secondary school age, fourth quintile, male, adjusted location parity index (household survey data) (LPIA)",6,2,6
Non-teaching staff compensation as a percentage of total expenditure in public institutions (%),6,1,6
"Completion rate, primary education, female, adjusted wealth parity index (WPIA)",6,2,6
"Repeaters in primary education, all grades, female (number)",6,1,6
"Completion rate, primary education, rural, both sexes (%)",6,1,6
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, adjusted location parity index (LPIA)",6,2,5
"Completion rate, upper secondary education, rural, middle quintile, female (%)",6,1,6
"Completion rate, upper secondary education, rural, middle quintile, male (%)",6,2,5
"Completion rate, upper secondary education, urban, fourth quintile, both sexes (%)",6,3,5
"Inbound mobility rate, male (%)",6,2,5
"Out-of-school rate for adolescents of lower secondary school age, middle quintile, male, adjusted location parity index (household survey data) (LPIA)",6,2,6
"Out-of-school adolescents and youth of secondary school age, male (number)",6,1,6
"Out-of-school rate for children of primary school age, adjusted wealth parity index (household survey data) (WPIA)",6,2,6
Teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),6,1,6
"North America: Students from the United States, both sexes (number)",6,1,6
"Completion rate, primary education, richest quintile, both sexes (%)",6,2,6
SD = ANER; Female,6,2,6
"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)",6,2,5
"Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, male (household survey data) (%)",6,2,6
"Total net attendance rate, primary education, female, adjusted location parity index (LPIA)",6,2,6
"Europe: Students from San Marino, both sexes (number)",6,1,6
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, male, adjusted location parity index (household survey data) (LPIA)",6,1,6
"Europe: Students from Denmark, both sexes (number)",6,1,6
Fraction of Children Under 5 Not Stunted,6,3,4
"Europe: Students from the Republic of Moldova, both sexes (number)",6,1,6
"Europe: Students from Spain, both sexes (number)",6,2,6
"Africa: Students from Eswatini, both sexes (number)",6,2,6
"Total net attendance rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)",6,3,6
"Elderly literacy rate, population 65+ years, both sexes (%)",6,1,6
"Completion rate, primary education, urban, female (%)",6,1,6
"Government expenditure on tertiary education, US$ (millions)",6,1,6
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male (%)",6,2,5
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, male (%)",6,1,6
"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",6,1,6
"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",6,1,6
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)",6,2,5
"Completion rate, lower secondary education, poorest quintile, female, adjusted location parity index (LPIA)",6,1,6
"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",6,1,6
"Out-of-school rate for children of primary school age, urban, richest quintile, both sexes (household survey data) (%)",6,2,5
"Out-of-school rate for children of primary school age, urban, richest quintile, male (household survey data) (%)",6,2,6
"Adult literacy rate, population 15+ years, female (%)",6,1,6
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, male (%)",6,3,6
Population Age 10 for Reference Year 2019; Male,6,2,5
"Out-of-school rate for children of primary school age, richest quintile, female, adjusted location parity index (household survey data) (LPIA)",6,2,6
"Total net attendance rate, upper secondary education, urban, adjusted wealth parity index (WPIA)",6,3,6
"Total net attendance rate, upper secondary, rural, poorest quintile, male (%)",6,2,5
"Expected Years of School, Female",6,2,4
"Total net attendance rate, primary, urban, second quintile, female (%)",6,2,5
LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,5,1,5
"Total net attendance rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",5,1,5
Pupil-trained teacher ratio in secondary education (headcount basis),5,2,5
LDGAP: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading;,5,1,5
"Total net attendance rate, primary, urban, richest quintile, both sexes (%)",5,3,3
LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,5,1,5
"Completion rate, lower secondary education, rural, male, adjusted wealth parity index (WPIA)",5,1,5
"Completion rate, lower secondary education, rural, fourth quintile, male (%)",5,1,5
"Proportion of youth and adults who have copied or moved a file or folder, female (%)",5,1,5
"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",5,2,3
Government expenditure on upper secondary education as a percentage of GDP (%),5,1,5
"Total net attendance rate, lower secondary, fourth quintile, male (%)",5,2,5
"Total net attendance rate, lower secondary education, urban, adjusted wealth parity index (WPIA)",5,1,5
"Total net attendance rate, lower secondary, rural, middle quintile, male (%)",5,2,5
"Total net attendance rate, upper secondary, urban, richest quintile, male (%)",5,2,4
"Oceania: Students from Tuvalu, both sexes (number)",5,1,5
"Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, both sexes (%)",5,1,5
"Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, female (%)",5,2,5
"Completion rate, primary education, urban, adjusted wealth parity index (WPIA)",5,2,5
"Completion rate, primary education, second quintile, both sexes (%)",5,1,5
"Completion rate, primary education, second quintile, female, adjusted location parity index (LPIA)",5,1,5
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",5,2,4
LP = SD: ANER; LD: PIRLS 2006 for grade 4 using MPL Low (400 points) for reading;,5,1,5
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, both sexes (household survey data) (%)",5,3,4
LDSEV: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,5,1,5
SD = ANER;,5,1,5
"Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, both sexes (household survey data) (%)",5,2,5
"South America: Students from unknown countries, both sexes (number)",5,2,5
"Percentage of graduates from tertiary education graduating from Services programmes, both sexes (%)",5,2,5
"Completion rate, upper secondary education, poorest quintile, adjusted location parity index (LPIA)",5,1,5
"Out-of-school rate for youth of upper secondary school age, second quintile, male (household survey data) (%)",5,2,5
"Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, male (household survey data) (%)",5,2,5
"Out-of-school rate for youth of upper secondary school age, urban, second quintile, adjusted gender parity index (household survey data) (GPIA)",5,1,5
"Out-of-school rate for youth of upper secondary school age, fourth quintile, both sexes (household survey data) (%)",5,1,5
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",5,2,4
