economy,Country name,Indicator name,UNIT_MEASURE,UNIT_TYPE,Year,Value
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,6.450389862060547
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,2.674200057983398
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1972,4.915040016174316
BTN,Bhutan,"School age population, secondary education, female (number)",,,1972,15270.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1972,13699.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1972,358007.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1972,38190.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1972,79367.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1972,329312.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1972,32457908.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1972,2986.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1972,2329950.0
FIN,Finland,"School age population, secondary education, female (number)",,,1972,241342.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1972,7128385.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1972,48131.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1972,7960.0
LBY,Libya,"School age population, secondary education, female (number)",,,1972,104178.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1972,236205.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1972,368197.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1972,165530.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1972,29037.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1972,481886.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1972,48273.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1972,968392.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1973,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1973,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1973,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1973,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1973,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1973,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1973,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1973,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1973,3.8434898853302
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1973,6.40388011932373
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1973,2.730560064315796
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1973,4.797369956970215
BTN,Bhutan,"School age population, secondary education, female (number)",,,1973,15820.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1973,14152.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1973,358381.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1973,43707.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1973,82257.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1973,339583.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1973,28936352.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1973,3183.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1973,2383114.0
FIN,Finland,"School age population, secondary education, female (number)",,,1973,238905.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1973,7334492.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1973,49209.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1973,8202.0
LBY,Libya,"School age population, secondary education, female (number)",,,1973,111843.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1973,228906.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1973,366484.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1973,170385.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1973,30331.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1973,494125.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1973,49405.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1973,1001105.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1974,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1974,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1974,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1974,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1974,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1974,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1974,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1974,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1974,3.756109952926636
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1974,6.392079830169678
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1974,2.829799890518188
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1974,4.65684986114502
BTN,Bhutan,"School age population, secondary education, female (number)",,,1974,16403.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1974,14627.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1974,358273.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1974,46691.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1974,85349.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1974,350594.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1974,27961924.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1974,3403.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1974,2438486.0
FIN,Finland,"School age population, secondary education, female (number)",,,1974,235462.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1974,7538533.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1974,50245.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1974,8284.0
LBY,Libya,"School age population, secondary education, female (number)",,,1974,126917.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1974,224027.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1974,365399.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1974,175849.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1974,31353.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1974,495279.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1974,50632.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1974,1035038.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1975,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1975,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1975,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1975,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1975,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1975,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1975,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1975,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1975,3.637809991836548
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1975,6.347720146179199
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1975,3.125459909439087
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1975,5.001780033111572
BTN,Bhutan,"School age population, secondary education, female (number)",,,1975,17022.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1975,15124.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1975,357441.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1975,49558.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1975,88510.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1975,362395.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1975,36022424.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1975,3616.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1975,2496076.0
FIN,Finland,"School age population, secondary education, female (number)",,,1975,232483.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1975,7717558.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1975,51328.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1975,8259.0
LBY,Libya,"School age population, secondary education, female (number)",,,1975,141181.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1975,220729.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1975,367420.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1975,180492.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1975,33092.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1975,507418.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1975,51814.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1975,1063580.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1976,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1976,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1976,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1976,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1976,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1976,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1976,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1976,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1976,3.659280061721802
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1976,6.338089942932129
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1976,3.535379886627197
