economy,Country name,Indicator name,UNIT_MEASURE,UNIT_TYPE,Year,Value
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1984,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1984,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1984,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1984,4.076759815216064
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1984,6.003620147705078
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1984,5.616399765014648
BTN,Bhutan,"School age population, secondary education, female (number)",,,1984,24183.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1984,20771.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1984,313899.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1984,70084.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1984,119134.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1984,396672.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1984,80973000.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1984,4376.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1984,3033424.0
FIN,Finland,"School age population, secondary education, female (number)",,,1984,205835.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1984,6007404.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1984,62556.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1984,10453.0
LBY,Libya,"School age population, secondary education, female (number)",,,1984,250705.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1984,212185.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1984,322589.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1984,180493.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1984,56364.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1984,504111.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1984,75413.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1984,1449585.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1985,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1985,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1985,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1985,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1985,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1985,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1985,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1985,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1985,4.143280029296875
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1985,5.983910083770752
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1985,5.570869922637939
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1985,5.228750228881836
BTN,Bhutan,"School age population, secondary education, female (number)",,,1985,25092.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1985,21569.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1985,309704.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1985,72163.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1985,122891.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1985,401374.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1985,79461880.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1985,4360.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1985,3095143.0
FIN,Finland,"School age population, secondary education, female (number)",,,1985,199464.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1985,5589148.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1985,64010.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1985,10877.0
LBY,Libya,"School age population, secondary education, female (number)",,,1985,252796.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1985,212330.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1985,314838.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1985,183121.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1985,58751.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1985,507401.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1985,77920.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1985,1558252.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1986,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1986,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1986,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1986,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1986,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1986,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1986,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1986,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1986,4.156320095062256
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1986,5.943319797515869
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1986,5.614500045776367
BTN,Bhutan,"School age population, secondary education, female (number)",,,1986,29512.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1986,20979.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1986,306300.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1986,48878.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1986,126552.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1986,408232.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1986,76524784.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1986,4315.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1986,3158891.0
FIN,Finland,"School age population, secondary education, female (number)",,,1986,191599.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1986,5234944.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1986,65571.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1986,11306.0
LBY,Libya,"School age population, secondary education, female (number)",,,1986,257158.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1986,212848.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1986,309056.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1986,184738.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1986,65814.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1986,507749.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1986,80619.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1986,1698750.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1987,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1987,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1987,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1987,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1987,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1987,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1987,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1987,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1987,4.255720138549805
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1987,5.789760112762451
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1987,5.662179946899414
BTN,Bhutan,"School age population, secondary education, female (number)",,,1987,30609.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1987,21754.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1987,303007.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1987,50383.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1987,130638.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1987,416892.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1987,73366512.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1987,4221.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1987,3231962.0
FIN,Finland,"School age population, secondary education, female (number)",,,1987,183237.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1987,4991181.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1987,67032.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1987,11741.0
LBY,Libya,"School age population, secondary education, female (number)",,,1987,263235.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1987,213902.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1987,304662.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1987,185280.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1987,72703.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1987,510581.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1987,84463.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1987,1687561.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1988,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1988,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1988,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1988,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1988,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1988,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1988,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1988,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1988,4.248410224914551
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1988,5.856400012969971
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1988,5.781889915466309
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1988,4.547289848327637
BTN,Bhutan,"School age population, secondary education, female (number)",,,1988,31728.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1988,22556.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1988,299506.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1988,51931.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1988,135523.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1988,427913.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1988,68794944.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1988,4114.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1988,3318058.0
FIN,Finland,"School age population, secondary education, female (number)",,,1988,179195.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1988,4820289.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1988,68576.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1988,12139.0
LBY,Libya,"School age population, secondary education, female (number)",,,1988,270605.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1988,214940.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1988,301209.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1988,184437.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1988,79400.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1988,514213.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1988,87740.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1988,1644755.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1989,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1989,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1989,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1989,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1989,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1989,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1989,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1989,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1989,4.193910121917725
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1989,5.827610015869141
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1989,5.605279922485352
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1989,4.772280216217041
BTN,Bhutan,"School age population, secondary education, female (number)",,,1989,32877.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1989,23374.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1989,295300.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1989,81591.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1989,140617.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1989,441972.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1989,64032852.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1989,4034.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1989,3416801.0
FIN,Finland,"School age population, secondary education, female (number)",,,1989,179088.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1989,4766103.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1989,70174.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1989,12455.0
LBY,Libya,"School age population, secondary education, female (number)",,,1989,279426.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1989,215964.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1989,299449.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1989,180289.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1989,85901.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1989,517436.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1989,86292.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1989,1572269.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1990,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1990,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1990,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1990,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1990,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1990,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1990,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1990,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1990,3.896009922027588
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1990,5.790279865264893
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1990,4.627230167388916
BTN,Bhutan,"School age population, secondary education, female (number)",,,1990,34064.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1990,24212.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1990,290805.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1990,84919.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1990,145635.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1990,461820.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1990,59429652.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1990,3969.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1990,3650318.0
FIN,Finland,"School age population, secondary education, female (number)",,,1990,180576.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1990,4817516.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1990,72008.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1990,12605.0
LBY,Libya,"School age population, secondary education, female (number)",,,1990,289394.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1990,217057.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1990,300193.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1990,173998.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1990,92172.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1990,509106.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1990,87414.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1990,1479755.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1991,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1991,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1991,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1991,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1991,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1991,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1991,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1991,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1991,3.808939933776855
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1991,5.800839900970459
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1991,6.064640045166016
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1991,4.614930152893066
BTN,Bhutan,"School age population, secondary education, female (number)",,,1991,35187.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1991,24900.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1991,286871.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1991,89139.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1991,151537.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1991,481719.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1991,57159448.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1991,3892.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1991,3788507.0
FIN,Finland,"School age population, secondary education, female (number)",,,1991,182874.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1991,4932487.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1991,75214.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1991,12420.0
LBY,Libya,"School age population, secondary education, female (number)",,,1991,300171.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1991,220934.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1991,310842.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1991,170494.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1991,98178.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1991,487670.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1991,87809.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1991,1387534.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1992,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1992,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1992,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1992,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1992,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1992,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1992,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1992,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1992,3.737540006637573
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1992,5.81289005279541
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1992,5.094099998474121
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1992,4.155809879302979
BTN,Bhutan,"School age population, secondary education, female (number)",,,1992,35846.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1992,25281.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1992,284393.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1992,93932.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1992,157337.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1992,501565.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1992,56787400.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1992,3777.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1992,3923695.0
FIN,Finland,"School age population, secondary education, female (number)",,,1992,186196.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1992,5068926.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1992,78445.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1992,13033.0
LBY,Libya,"School age population, secondary education, female (number)",,,1992,309637.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1992,224578.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1992,313037.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1992,165065.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1992,103820.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1992,466289.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1992,83156.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1992,1311188.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1993,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1993,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1993,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1993,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1993,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1993,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1993,0.0
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1993,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1993,3.713579893112183
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1993,5.796360015869141
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1993,5.045780181884766
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1993,4.122620105743408
BTN,Bhutan,"School age population, secondary education, female (number)",,,1993,33122.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1993,23299.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1993,265928.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1993,98837.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1993,164738.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1993,521833.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1993,58559904.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1993,3577.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1993,4053355.0
FIN,Finland,"School age population, secondary education, female (number)",,,1993,190587.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1993,5185474.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1993,80347.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1993,13750.0
LBY,Libya,"School age population, secondary education, female (number)",,,1993,316816.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1993,228586.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1993,316716.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1993,160920.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1993,108546.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1993,448055.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1993,83514.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1993,1313605.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1994,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1994,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1994,0.0
