economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency,EII_band,OUTCOME_band,Efficiency_band,EII_high,OUTCOME_high,Efficiency_high
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,,-3.0450933642213176,4,-0.20285648884358504,1,1.0,-0.20285648884358504,0.0,1.0,0.0,0,0,0
COM,Comoros,Sub-Saharan Africa,Lower middle income,IDA,-0.7561039903061303,100,-0.6649556493340956,7,3.288989373915187,-0.2021762838785148,0.0,0.0,0.0,0,0,0
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,IBRD,0.6615645080504764,110,-0.9511057104926831,7,4.706657872271794,-0.20207666167874797,2.0,0.0,0.0,1,0,0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,-0.5341006342983814,24,-0.7073711761274579,7,3.510992729922936,-0.20147326711866595,0.0,0.0,0.0,0,0,0
BGD,Bangladesh,South Asia,Lower middle income,IDA,-0.2509022315537564,105,-0.7441963050230104,6,3.794191132667561,-0.19614096364718253,1.0,0.0,0.0,0,0,0
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,-0.5187125057242915,105,-0.6812810263760196,7,3.526380858497026,-0.19319553210891335,0.0,0.0,0.0,0,0,0
GIN,Guinea,Sub-Saharan Africa,Lower middle income,IDA,-0.34029922888819475,110,-0.7031486428721482,7,3.704794135333123,-0.18979425500761957,0.0,0.0,0.0,0,0,0
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Blend,-0.07213696238966044,104,-0.7327102484563878,7,3.972956401831657,-0.18442443720716026,1.0,0.0,0.0,0,0,0
NAM,Namibia,Sub-Saharan Africa,Lower middle income,IBRD,-0.589838351821984,110,-0.6315443296383758,7,3.4552550123993337,-0.18277792156354636,0.0,0.0,0.0,0,0,0
GUY,Guyana,Latin America & Caribbean,High income,IDA,-0.2511730919719111,91,-0.6885224802026169,7,3.7939202722494065,-0.18148048213843815,1.0,0.0,0.0,0,0,0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,IDA,-0.1595114545000983,79,-0.7024533911111214,7,3.8855819097212194,-0.1807846050944582,1.0,0.0,0.0,0,0,0
BFA,Burkina Faso,Sub-Saharan Africa,Low income,IDA,0.034222381241627776,110,-0.7342715851573219,7,4.079315745462946,-0.1799987132582188,1.0,0.0,0.0,0,0,0
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,-0.4403808662134864,110,-0.6443898024529788,6,3.604712498007831,-0.17876316150292298,0.0,0.0,0.0,0,0,0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,IBRD,0.09983350138048341,105,-0.7406707999202083,7,4.144926865601801,-0.17869333378760846,1.0,0.0,0.0,0,0,0
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Blend,-0.12022918746036582,98,-0.6729717981690456,7,3.924864176760952,-0.17146371641436642,1.0,0.0,0.0,0,0,0
SEN,Senegal,Sub-Saharan Africa,Lower middle income,IDA,-0.10290653973245466,110,-0.6627162140293227,6,3.942186824488863,-0.1681087790950266,1.0,0.0,0.0,0,0,0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,IBRD,0.16193507823991798,87,-0.6937274417574322,7,4.207028442461235,-0.16489725497353216,1.0,0.0,0.0,0,0,0
BEN,Benin,Sub-Saharan Africa,Lower middle income,IDA,-0.2100852454683829,110,-0.6146151146790351,7,3.835008118752935,-0.16026435815705525,1.0,0.0,0.0,0,0,0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,-0.14396884355769163,110,-0.6156743011651679,7,3.901124520663626,-0.15781969991063874,1.0,0.0,0.0,0,0,0
TGO,Togo,Sub-Saharan Africa,Low income,IDA,-0.23986875016832485,110,-0.5523196178597674,7,3.805224614052993,-0.14514770450606457,1.0,0.0,0.0,0,0,0
BTN,Bhutan,South Asia,Lower middle income,IDA,-0.45330079996833283,94,-0.509078647246285,7,3.5917925642529847,-0.14173386634652785,0.0,0.0,0.0,0,0,0
PAN,Panama,Latin America & Caribbean,High income,IBRD,-0.14651679579957294,87,-0.5048441760016623,7,3.8985765684217446,-0.12949448783201345,1.0,0.0,0.0,0,0,0
WSM,Samoa,East Asia & Pacific,Upper middle income,IDA,-0.7524867157696554,74,-0.41911828267538864,7,3.2926066484516623,-0.12729072355863633,0.0,0.0,0.0,0,0,0
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.03382506144930037,99,-0.49637369715992785,7,4.078918425670619,-0.12169247956419198,1.0,0.0,0.0,0,0,0
BDI,Burundi,Sub-Saharan Africa,Low income,IDA,-0.320406155769161,85,-0.44780048398583533,7,3.7246872084521567,-0.12022499042863918,0.0,0.0,0.0,0,0,0
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,-0.17766511646711422,88,-0.4483589821489145,6,3.8674282477542032,-0.11593207512234374,1.0,0.0,0.0,0,0,0
HND,Honduras,Latin America & Caribbean,Lower middle income,IDA,-0.5483171372421053,105,-0.4045738679873729,7,3.4967762269792124,-0.11569910160847648,0.0,0.0,0.0,0,0,0
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.015311375409636242,81,-0.44887468332330277,7,4.029781988811681,-0.11138932194584274,1.0,0.0,0.0,0,0,0
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.33429907408108267,78,-0.4044818624729178,6,3.710794290140235,-0.10900142418232296,0.0,0.0,0.0,0,0,0
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,0.1953776665943413,105,-0.4465416438946176,7,4.240471030815659,-0.1053047269158504,1.0,0.0,0.0,0,0,0
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,-0.3436371712769073,49,-0.36986612581825673,7,3.70145619294441,-0.09992449094042581,0.0,0.0,0.0,0,0,0
NPL,Nepal,South Asia,Lower middle income,IDA,-0.1626759074574968,110,-0.3785629189508313,3,3.8824174567638208,-0.09750701030135524,1.0,0.0,0.0,0,0,0
TON,Tonga,East Asia & Pacific,Upper middle income,IDA,-0.8315468385467375,43,-0.3116143243786749,7,3.2135465256745803,-0.09696897863125276,0.0,1.0,1.0,0,0,0
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,-0.22182311211425415,99,-0.36747263610377073,6,3.8232702521070636,-0.09611474258228302,1.0,1.0,1.0,0,0,0
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,IDA,-0.2580978489755373,12,-0.35742612481309194,6,3.7869955152457804,-0.09438250543845562,1.0,1.0,1.0,0,0,0
PRY,Paraguay,Latin America & Caribbean,Upper middle income,IBRD,0.013368369255035867,105,-0.37340900001941146,6,4.058461733476353,-0.09200752022357024,1.0,0.0,1.0,0,0,0
