economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency,EII_band,OUTCOME_band,Efficiency_band,EII_high,OUTCOME_high,Efficiency_high
CHN,China,East Asia & Pacific,Upper middle income,IBRD,0.34382945935195736,89,0.48656537665278304,6,4.3889228235732745,0.11086214003112549,2.0,2.0,2.0,1,1,1
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.3286643141422352,69,0.45769977027824876,7,3.7164290500790824,0.1231557939384069,0.0,2.0,2.0,0,1,1
SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,0.2329619403331601,72,0.5575943153289422,7,4.278055304554478,0.1303382671877382,2.0,2.0,2.0,1,1,1
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend,0.2873490508787677,101,0.5754190533398201,7,4.332442415100085,0.1328163188815349,2.0,2.0,2.0,1,1,1
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,IBRD,-0.17387950093148188,81,0.5186589050063702,7,3.8712138632898356,0.13397836526799464,1.0,2.0,2.0,0,1,1
TUR,T�rkiye,Europe & Central Asia,Upper middle income,IBRD,0.48374815175765673,96,0.6402593680961491,7,4.528841515978974,0.14137376321011486,2.0,2.0,2.0,1,1,1
UKR,Ukraine,Europe & Central Asia,Upper middle income,IBRD,0.5968346792177198,83,0.7003753043294972,7,4.641928043439037,0.15088025875787045,2.0,2.0,2.0,1,1,1
GRC,Greece,Europe & Central Asia,High income,,0.2556647020813026,110,0.6535846179184593,7,4.30075806630262,0.15196963136323285,2.0,2.0,2.0,1,1,1
SVK,Slovak Republic,Europe & Central Asia,High income,,0.45871333345763693,110,0.7313728796367672,7,4.503806697678955,0.16238993561017653,2.0,2.0,2.0,1,1,1
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.21712215652876593,110,0.7196845568974647,7,4.262215520750083,0.1688522209620248,2.0,2.0,2.0,1,1,1
PLW,Palau,East Asia & Pacific,High income,IBRD,-0.8344319075455875,49,0.5505832647523262,6,3.21066145667573,0.1714859296695802,0.0,2.0,2.0,0,1,1
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.5658600453145688,90,0.7984458713814636,7,4.610953409535886,0.1731628581911503,2.0,2.0,2.0,1,1,1
LUX,Luxembourg,Europe & Central Asia,High income,,0.2630293572394943,110,0.7750430464552555,7,4.308122721460812,0.17990273178486693,2.0,2.0,2.0,1,1,1
ITA,Italy,Europe & Central Asia,High income,,0.7298271830186454,110,0.86268885414602,7,4.774920547239963,0.18067082909781151,2.0,2.0,2.0,1,1,1
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.6976635682277521,57,0.8718254344006109,7,4.74275693244907,0.18382249961741487,2.0,2.0,2.0,1,1,1
HUN,Hungary,Europe & Central Asia,High income,,0.585072883771033,96,0.8557081280077208,7,4.630166247992351,0.18481153422487961,2.0,2.0,2.0,1,1,1
HRV,Croatia,Europe & Central Asia,High income,IBRD,-0.03078836272021902,81,0.8264928260340841,7,4.014305001501098,0.20588690339299773,1.0,2.0,2.0,0,1,1
ISL,Iceland,Europe & Central Asia,High income,,0.38070106119987007,110,0.9170883162772158,7,4.425794425421188,0.2072143954562326,2.0,2.0,2.0,1,1,1
RUS,Russian Federation,Europe & Central Asia,High income,IBRD,0.8269036397873618,67,1.0111784077057027,7,4.87199700400868,0.20754906188852434,2.0,2.0,2.0,1,1,1
ESP,Spain,Europe & Central Asia,High income,,0.4846531554556846,110,0.9500124183311962,7,4.529746519677002,0.20972750113155067,2.0,2.0,2.0,1,1,1
LTU,Lithuania,Europe & Central Asia,High income,,0.37118768405990893,110,0.9400840993691799,7,4.416281048281227,0.21286781549717074,2.0,2.0,2.0,1,1,1
AUT,Austria,Europe & Central Asia,High income,,0.5946340114908324,110,1.0004628373828524,7,4.63972737571215,0.21562966018650864,2.0,2.0,2.0,1,1,1
NOR,Norway,Europe & Central Asia,High income,,0.8096352733287142,101,1.0706176507589549,7,4.854728637550032,0.22053089486362074,2.0,2.0,2.0,1,1,1
CZE,Czechia,Europe & Central Asia,High income,,0.5943158381854217,110,1.0497446385456812,7,4.639409202406739,0.22626687855020763,2.0,2.0,2.0,1,1,1
FRA,France,Europe & Central Asia,High income,,0.8625986917759595,110,1.1131986147953516,7,4.907692055997277,0.22682731558819086,2.0,2.0,2.0,1,1,1
CHE,Switzerland,Europe & Central Asia,High income,,0.5803989624097456,110,1.0501935139737395,7,4.625492326631063,0.22704469920473067,2.0,2.0,2.0,1,1,1
LVA,Latvia,Europe & Central Asia,High income,,0.28249531562306196,98,0.9836762962524431,7,4.3275886798443794,0.22730355609669822,2.0,2.0,2.0,1,1,1
BEL,Belgium,Europe & Central Asia,High income,,0.6859347502083853,105,1.0832727905241135,7,4.731028114429703,0.2289719621872709,2.0,2.0,2.0,1,1,1
VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,0.4509611786680756,93,1.0329526278631638,7,4.496054542889393,0.2297464628174497,2.0,2.0,2.0,1,1,1
DEU,Germany,Europe & Central Asia,High income,,1.142087265365902,94,1.1962327604867438,7,5.187180629587219,0.23061328415354151,2.0,2.0,2.0,1,1,1
CYP,Cyprus,Europe & Central Asia,High income,,0.10348123271851503,110,0.9677428402194262,7,4.148574596939833,0.23327116762785827,1.0,2.0,2.0,0,1,1
SWE,Sweden,Europe & Central Asia,High income,,0.7355920808557594,102,1.142733008921857,7,4.7806854450770775,0.23903120630925198,2.0,2.0,2.0,1,1,1
DNK,Denmark,Europe & Central Asia,High income,,0.4452958719249086,110,1.078477810483327,7,4.4903892361462265,0.24017468280965903,2.0,2.0,2.0,1,1,1
PRT,Portugal,Europe & Central Asia,High income,,0.3157018596240565,105,1.049921765666088,7,4.360795223845374,0.24076383131337706,2.0,2.0,2.0,1,1,1
NLD,Netherlands,Europe & Central Asia,High income,,0.568473688992004,96,1.1487118596394394,7,4.6135670532133215,0.24898562140532207,2.0,2.0,2.0,1,1,1
POL,Poland,Europe & Central Asia,High income,IBRD,0.7166629447361873,94,1.1874337609417587,7,4.761756308957505,0.2493688639017574,2.0,2.0,2.0,1,1,1
NZL,New Zealand,East Asia & Pacific,High income,,0.579725657668631,90,1.199155300318567,7,4.624819021889948,0.25928696769382514,2.0,2.0,2.0,1,1,1
SVN,Slovenia,Europe & Central Asia,High income,,0.21348901470843912,110,1.1243852663478329,7,4.2585823789297566,0.26402806528082406,1.0,2.0,2.0,0,1,1
FIN,Finland,Europe & Central Asia,High income,,0.4022420267874269,110,1.2376650435352212,7,4.447335391008744,0.27829361510207445,2.0,2.0,2.0,1,1,1
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,0.7670988158131031,68,1.3655752997341086,7,4.812192180034421,0.28377405736201106,2.0,2.0,2.0,1,1,1
IRL,Ireland,Europe & Central Asia,High income,,0.3428890283199833,110,1.2533973126377582,7,4.387982392541301,0.28564319555344725,2.0,2.0,2.0,1,1,1
KOR,"Korea, Rep.",East Asia & Pacific,High income,,0.5374219397447926,105,1.3200474253336008,7,4.58251530396611,0.2880617603592324,2.0,2.0,2.0,1,1,1
USA,United States,North America,High income,,1.042653181235799,110,1.478667268886404,7,5.087746545457117,0.29063304464463074,2.0,2.0,2.0,1,1,1
EST,Estonia,Europe & Central Asia,High income,,0.26946920733915475,110,1.2831417780137797,7,4.314562571560472,0.2973978837325561,2.0,2.0,2.0,1,1,1
CAN,Canada,North America,High income,,0.4197383903225071,71,1.3321475730729506,7,4.464831754543825,0.2983645624982922,2.0,2.0,2.0,1,1,1
JPN,Japan,East Asia & Pacific,High income,,0.7138257421220147,81,1.5720094534300972,5,4.758919106343332,0.33032909749079575,2.0,2.0,2.0,1,1,1
MAC,"Macao SAR, China",East Asia & Pacific,High income,,-0.2742842102315209,89,1.3641704888847161,7,3.7708091539897968,0.36177128917843066,0.0,2.0,2.0,0,1,1
SGP,Singapore,East Asia & Pacific,High income,,0.5062464461655696,58,1.8562566792994026,6,4.551339810386887,0.40784840434527153,2.0,2.0,2.0,1,1,1
AUS,Australia,East Asia & Pacific,High income,,0.6731966518265894,110,2.179211267294786,7,4.7182900160479075,0.4618646288979323,2.0,2.0,2.0,1,1,1
GBR,United Kingdom,Europe & Central Asia,High income,,0.42759265807652325,110,2.370082947717702,7,4.472686022297841,0.5299014811015222,2.0,2.0,2.0,1,1,1
