economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
HTI,Haiti,Latin America & Caribbean,Lower middle income,IDA,-1.1646102311949365,28,0.014093286376188337,1106,2.88048313302638,0.0048926814445121305
GHA,Ghana,Sub-Saharan Africa,Lower middle income,IDA,0.10935774660336608,114,0.39200055476294166,1411,4.154451110824683,0.09435676201401423
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Blend,-0.3258965480223351,21,0.29229606956687726,1176,3.719196816198981,0.07859118084146023
EST,Estonia,Europe & Central Asia,High income,,0.2560232193710733,116,0.6625454500426338,819,4.301116583592389,0.1540403374719178
KOR,"Korea, Rep.",East Asia & Pacific,High income,,0.5374219397447926,105,0.8003336809965432,1287,4.582515303966109,0.17464942895092234
PER,Peru,Latin America & Caribbean,Upper middle income,IBRD,0.10483202671995975,116,-0.29112828181059647,1220,4.149925390941275,-0.07015265441785774
ESP,Spain,Europe & Central Asia,High income,,0.5001558292374493,116,0.1178808938477999,1157,4.5452491934587655,0.025934968321967167
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,0.20111212870515102,98,-0.23389495581061948,898,4.246205492926467,-0.055083286995943295
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.046949233784085824,116,-0.041943247840811666,1638,4.092042598005403,-0.01024995386442365
BTN,Bhutan,South Asia,Lower middle income,IDA,-0.45330079996833306,94,-0.038615293290012495,1230,3.5917925642529833,-0.010750980909735152
GTM,Guatemala,Latin America & Caribbean,Upper middle income,IBRD,-0.12267997056335472,116,0.2038163021181805,1457,3.9224133936579615,0.051961963633849834
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Blend,-0.39705412781487087,107,-0.10556329662763243,240,3.6480392364064453,-0.028936995955015855
ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,0.34875623567214553,116,-0.29053928142073604,999,4.393849599893462,-0.06612408431726492
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,-0.5341006342983817,24,-0.053909679478963524,1191,3.5109927299229344,-0.015354540332570506
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,IDA,0.06105375004543137,57,-0.06298796224318458,1304,4.106147114266747,-0.015339918539288044
LTU,Lithuania,Europe & Central Asia,High income,,0.35684585186411794,116,-0.1148250341932719,1379,4.4019392160854345,-0.026085102168989908
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.0614989723095238,111,0.2928416901014475,735,4.10659233653084,0.07131014381350398
DNK,Denmark,Europe & Central Asia,High income,,0.3951272703879716,116,0.23516548688769864,1137,4.440220634609288,0.05296256790815796
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,0.19537766659434125,105,0.3094975931907994,1547,4.240471030815657,0.07298660713436529
VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,0.45588818255644686,97,0.36865519869925917,1491,4.500981546777763,0.08190551213505377
USA,United States,North America,High income,,1.0070691276099928,116,0.11232032101232793,1379,5.052162491831309,0.022232127567934586
BRN,Brunei Darussalam,East Asia & Pacific,High income,,-0.10282730407617255,110,-0.31308913231259144,352,3.9422660601451436,-0.07941856981135981
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,-0.012929460459494444,111,0.00991373797138562,1369,4.0321639037618215,0.0024586644313085992
SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,0.23156339049101737,78,-0.2703786402162013,1890,4.2766567547123335,-0.06322196419394152
TCD,Chad,Sub-Saharan Africa,Low income,IDA,-0.3597391921935943,115,-0.11678774539899478,1448,3.685354172027722,-0.0316896938387707
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,IDA,-0.4183804416397132,110,0.17809980870104086,1343,3.626712922581603,0.049107776794823914
PAN,Panama,Latin America & Caribbean,High income,IBRD,-0.14651679579957308,87,-0.080942394093917,967,3.8985765684217433,-0.020762037803629653
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,-0.24586114840133058,101,0.28885625671217136,1422,3.799232215819986,0.0760301661765699
TUR,T�rkiye,Europe & Central Asia,Upper middle income,IBRD,0.47557663410575873,102,-0.01966499954617596,2162,4.520669998327075,-0.004350018814346815
MCO,Monaco,Europe & Central Asia,High income,,-0.5941949603387642,97,-0.05149587869967783,166,3.450898403882552,-0.014922455741305112
NZL,New Zealand,East Asia & Pacific,High income,,0.539501917373995,96,0.24943796275368427,1356,4.584595281595311,0.054407847897729116
SMR,San Marino,Europe & Central Asia,High income,,-0.4254705348643551,116,-0.6078580160147191,231,3.619622829356961,-0.1679340761928798
GIN,Guinea,Sub-Saharan Africa,Lower middle income,IDA,-0.31562618259341424,116,-0.17256270968554244,1350,3.729467181627902,-0.04627007057083669
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,-0.5194693406914179,111,-0.1268185152619896,240,3.5256240235298986,-0.035970515975500224
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.44403613844438,68,0.2907395620829677,1411,3.601057225776936,0.08073727904177917
GRD,Grenada,Latin America & Caribbean,Upper middle income,Blend,-0.3118859754129241,88,-0.03528179689069474,234,3.7332073888083923,-0.009450800134078912
COM,Comoros,Sub-Saharan Africa,Lower middle income,IDA,-0.7561039903061304,100,0.3578114698223339,1232,3.288989373915186,0.10879070411723407
ITA,Italy,Europe & Central Asia,High income,,0.6986553981903746,116,-0.036459445845683294,1516,4.743748762411691,-0.007685787690650705
CIV,C�te d�Ivoire,Sub-Saharan Africa,Lower middle income,Blend,0.08281108193259687,116,0.12707754352623063,1439,4.127904446153913,0.030785001247941295
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Blend,-0.3852980066802988,109,-0.06440115994747501,244,3.6597953575410176,-0.017596929242170947
CRI,Costa Rica,Latin America & Caribbean,High income,IBRD,0.25480246994221223,114,-0.05522842039451184,1727,4.299895834163529,-0.012844129840474516
GMB,"Gambia, The",Sub-Saharan Africa,Low income,IDA,-0.7032732820174724,112,0.09793704823698499,1225,3.341820082203844,0.029306499400888763
BEN,Benin,Sub-Saharan Africa,Lower middle income,IDA,-0.14729581470445474,116,0.10915393494781747,1429,3.8977975495168615,0.028004003173881437
CHN,China,East Asia & Pacific,Upper middle income,IBRD,0.3438294593519573,89,0.36831524889396117,625,4.388922823573274,0.08391928126776552
SLE,Sierra Leone,Sub-Saharan Africa,Low income,IDA,-0.2740541970363066,108,0.031528427716885556,1223,3.77103916718501,0.008360673628436685
GBR,United Kingdom,Europe & Central Asia,High income,,0.43299466939467046,116,0.23293006453682738,1406,4.478088033615987,0.05201551706627347
IRL,Ireland,Europe & Central Asia,High income,,0.32419823828310734,114,0.3152231194623066,1180,4.369291602504424,0.07214513201216065
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,IBRD,-1.1774105431953614,31,-0.6224626904939364,238,2.867682821025955,-0.21706120562916417
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.49392256914394755,101,-0.027769745720024025,1056,4.539015933365263,-0.006118010187163038
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,,-0.6657736221514976,114,-1.6374350381443257,1175,3.3793197420698187,-0.48454575569147057
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.24951073496234646,89,-0.21030090971638388,1442,4.294604099183663,-0.04896863712218754
GIB,Gibraltar,Europe & Central Asia,High income,,0.40833091745097694,14,-0.36700564247824596,159,4.453424281672293,-0.08240976364830721
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.19478937935851698,110,-0.030955948752969385,1211,3.850303984862799,-0.008039871364617063
KIR,Kiribati,East Asia & Pacific,Lower middle income,IDA,-0.8519258633349468,29,-0.27697094192848715,1062,3.1931675008863696,-0.08673861983488329
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,0.7670988158131031,68,0.7366332423066155,1331,4.812192180034419,0.1530764389175635
CHE,Switzerland,Europe & Central Asia,High income,,0.5476911639052874,114,0.42741636227185836,826,4.592784528126604,0.09306257666875599
HND,Honduras,Latin America & Caribbean,Lower middle income,IDA,-0.5319444539180594,107,0.21209757681251437,1569,3.513148910303257,0.060372498356241325
MWI,Malawi,Sub-Saharan Africa,Low income,IDA,-0.39078205473628086,103,0.029735293212647132,1287,3.6543113094850352,0.008137044355106524
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Blend,-0.6587591347592798,116,-1.0542015873083308,1221,3.3863342294620367,-0.3113105546807778
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,0.1368001861921685,28,0.31262279203204457,1436,4.181893550413484,0.07475627685480757
BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,0.41214798301995637,99,-0.2371522413096144,1417,4.457241347241273,-0.05320605792558112
CAN,Canada,North America,High income,,0.4043204806091427,75,0.48675201858532974,1226,4.449413844830459,0.10939688587314966
ERI,Eritrea,Sub-Saharan Africa,Low income,IDA,-0.5623674415549254,68,-0.18990851690747643,231,3.4827259226663907,-0.05452869996789228
MDG,Madagascar,Sub-Saharan Africa,Low income,IDA,-0.3303603530646486,105,0.1266083742373495,1334,3.7147330111566674,0.03408276553310814
SWE,Sweden,Europe & Central Asia,High income,,0.6215659537648812,108,0.10433042945950757,1432,4.6666593179861975,0.022356555803719834
AND,Andorra,Europe & Central Asia,High income,,-0.3797670669606358,89,-0.4388864121611396,218,3.6653262972606804,-0.11974006584056265
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,1.614128868959949,80,0.2892126498744538,1526,5.659222233181265,0.05110466384916577
LBR,Liberia,Sub-Saharan Africa,Low income,IDA,-0.6467827845870022,61,0.012464509041923167,1223,3.3983105796343143,0.0036678545853405927
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.21896331996245647,111,-0.025815239449905585,2051,3.8261300442588597,-0.006747088873427491
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend,0.21646043204098916,107,0.2261798613129475,1255,4.261553796262305,0.05307450571463484
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.1759210679102044,63,0.15798522188617015,1372,3.869172296311112,0.04083178772803528
ISL,Iceland,Europe & Central Asia,High income,,0.3465994377611342,116,0.12687424912643908,914,4.391692801982451,0.028889600171753103
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,-0.34363717127690735,49,0.06584410672672705,1215,3.7014561929444088,0.017788703497892768
GRC,Greece,Europe & Central Asia,High income,,0.28403628862299934,116,-0.06486584194877425,917,4.3291296528443155,-0.014983575718541076
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Blend,-0.0336088567839682,110,0.14532580617839935,1448,4.011484507437348,0.03622743797438661
MLI,Mali,Sub-Saharan Africa,Low income,IDA,-0.10377041703957104,116,-0.12166566149735103,1236,3.941322947181745,-0.030869244446042776
NRU,Nauru,East Asia & Pacific,High income,IBRD,-0.9750891645693526,6,-0.803011520610031,208,3.070004199651964,-0.2615669127426815
DMA,Dominica,Latin America & Caribbean,Upper middle income,Blend,-0.6198382174218575,100,-0.10353886135584937,215,3.4252551467994587,-0.03022807263061719
PRY,Paraguay,Latin America & Caribbean,Upper middle income,IBRD,0.05014742317102669,111,0.21392432679980952,1447,4.095240787392343,0.052237301273810204
AUT,Austria,Europe & Central Asia,High income,,0.5845064683343427,114,0.16797524151515686,1051,4.629599832555659,0.036282885690020895
