economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
JPN,Japan,East Asia & Pacific,High income,,0.7138257421220146,81,0.14944321193481697,1172,3.2446669500023315,0.04605810526553722
SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,0.23156339049101737,78,-0.2010367392129307,1828,2.7624045983713343,-0.07277599354253118
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,IDA,-0.03957900139297506,55,0.07279256215922197,1178,2.4912622064873418,0.02921914922069117
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,0.091055654020558,60,-0.17948229311641428,1355,2.6218968619008747,-0.06845513098722338
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,-0.14261498836277808,109,0.2946703452257348,1310,2.3882262195175388,0.12338460352606928
PLW,Palau,East Asia & Pacific,High income,IBRD,-0.9245581526449685,48,-0.3769912073631325,221,1.6062830552353482,-0.23469786731199552
CHE,Switzerland,Europe & Central Asia,High income,,0.5476911639052873,114,0.4085563734510131,815,3.078532371785604,0.1327114105394458
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,0.19537766659434125,105,0.2824124200778585,1472,2.7262188744746583,0.10359124966893177
CZE,Czechia,Europe & Central Asia,High income,,0.5653455377389471,116,0.11035419239725576,1154,3.096186745619264,0.03564196912650499
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.8387603683592906,67,0.24551410136520666,1468,3.3696015762396074,0.07286146323542333
ISL,Iceland,Europe & Central Asia,High income,,0.3465994377611343,116,0.11751873654439839,910,2.8774406456414514,0.04084141117642432
BEN,Benin,Sub-Saharan Africa,Lower middle income,IDA,-0.14729581470445474,116,0.1522479582391919,1376,2.3835453931758623,0.06387457888365827
VGB,British Virgin Islands,Latin America & Caribbean,High income,,-0.7428401899628596,75,-0.26118471227972984,198,1.7880010179174572,-0.14607637784453845
