INDICATOR,mean_val,median_val,sd_val,skew_pearson,abs_skew,skew_category,preferred_method
SE.CLO.9.LDSEV.M.TMS.2015.2,0.04984103515744209,0.0347601138055325,0.033660897315864684,1.3440748067760353,1.3440748067760353,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.3,0.04464640887454152,0.0299122910946608,0.03082458555028857,1.43399667994006,1.43399667994006,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.4,0.038053298679490886,0.0253942105919123,0.026115246221931076,1.4542181199441724,1.4542181199441724,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.5,0.02841656313588223,0.0183062106370926,0.01815871791045539,1.670330341929313,1.670330341929313,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.A,0.04657177068293094,0.0343570709228516,0.027692849756976813,1.323233238970145,1.323233238970145,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.F,0.04318931791931391,0.0325606167316437,0.025648186131746475,1.2432108609638897,1.2432108609638897,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.M,0.0499048043663303,0.0358815342187881,0.030208001638621203,1.3926710858238296,1.3926710858238296,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.R,0.05173253423223894,0.0363222509622574,0.03277637750658026,1.4104929625204377,1.4104929625204377,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2015.U,0.041272817490001515,0.0307747777551413,0.022674925872485124,1.3889403379614647,1.3889403379614647,highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2019.1,0.0638061016798019,0.0504117980599403,0.018942405837751315,2.121320343559642,2.121320343559642,very_highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2019.2,0.0537730064243078,0.035403985530138,0.02597771847604969,2.1213203435596424,2.1213203435596424,very_highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2019.3,0.04707507230341435,0.0276780240237713,0.027431568747076914,2.121320343559643,2.121320343559643,very_highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2019.4,0.03556082118302585,0.0160676334053278,0.02756753052910603,2.121320343559643,2.121320343559643,very_highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2019.5,0.03106006514281035,0.0181510280817747,0.018256135288893534,2.1213203435596433,2.1213203435596433,very_highly_skewed,mad
SE.CLO.9.LDSEV.M.TMS.2019.A,0.039030772944291435,0.0341428518295288,0.023339296920861573,0.628286421566575,0.628286421566575,moderately_skewed,iqr
SE.CLO.9.LDSEV.M.TMS.2019.F,0.03688507806509733,0.0330134704709053,0.023574477244334598,0.4926863345556208,0.4926863345556208,nearly_symmetric,zscore
SE.CLO.9.LDSEV.M.TMS.2019.M,0.041079933444658906,0.0352344736456871,0.023390188461847802,0.7497322830690032,0.7497322830690032,moderately_skewed,iqr
SE.CLO.9.LDSEV.M.TMS.2019.R,0.044422245273987436,0.0396819859743118,0.02808000489952467,0.506437871001498,0.506437871001498,moderately_skewed,iqr
SE.CLO.9.LDSEV.M.TMS.2019.U,0.03471265298624834,0.0289533045142889,0.019858496196920705,0.8700580972771482,0.8700580972771482,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2007.1,0.1140350475907326,0.1140350475907326,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.2,0.0649705305695534,0.0649705305695534,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.3,0.071636974811554,0.071636974811554,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.4,0.0504074357450008,0.0504074357450008,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.5,0.042695190757513,0.042695190757513,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.A,0.076045498251915,0.076045498251915,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.F,0.0719949975609779,0.0719949975609779,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.M,0.0802948400378227,0.0802948400378227,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.R,0.0839517936110497,0.0839517936110497,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2007.U,0.0750303640961647,0.0750303640961647,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2011.1,0.09026656796534854,0.0731166824698448,0.06461622882625041,0.7962342807850423,0.7962342807850423,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2011.2,0.08026235147068897,0.065820001065731,0.05902735973751987,0.7340164189545094,0.7340164189545094,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2011.3,0.07107092595348755,0.0549649856984615,0.05539831619171139,0.8721893387132835,0.8721893387132835,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2011.4,0.06449757330119611,0.0533694364130497,0.04874615946686906,0.6848623774582565,0.6848623774582565,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2011.5,0.04549336743851501,0.0416156500577927,0.030169187304797535,0.38559713341423074,0.38559713341423074,nearly_symmetric,zscore
SE.CLO.9.LDSEV.S.TMS.2011.A,0.07351929042488337,0.0594788081943989,0.05159789230311364,0.8163404513504053,0.8163404513504053,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2011.F,0.07076153407494228,0.0526233315467834,0.05005426256311647,1.0871123616267833,1.0871123616267833,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2011.M,0.07562069594860076,0.0653395354747772,0.05374249286573115,0.5739123694639405,0.5739123694639405,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2011.R,0.10354005359113215,0.068260557949543,0.07559785554805383,1.400019698409185,1.400019698409185,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2011.U,0.06877987273037432,0.0565921068191528,0.045376272832574956,0.8057801016088815,0.8057801016088815,moderately_skewed,iqr
SE.CLO.9.LDSEV.S.TMS.2015.1,0.08047888831545912,0.055173471570015,0.047461212917587314,1.5995429861464976,1.5995429861464976,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.2,0.06869344599545003,0.0443410091102123,0.0495361659249034,1.474827720144263,1.474827720144263,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.3,0.06177863540748755,0.0387849099934101,0.04591266067784804,1.5024434485783225,1.5024434485783225,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.4,0.0528906829034289,0.0308253895491362,0.040030386569778406,1.6536407897907677,1.6536407897907677,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.5,0.03799026117970548,0.0231221411377192,0.02559362964928792,1.742791496836395,1.742791496836395,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.A,0.06409186994036037,0.041960846632719,0.04178255089957,1.5890142773357425,1.5890142773357425,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.F,0.057989475006858505,0.0337461605668068,0.03889109027691039,1.870092681956382,1.870092681956382,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.M,0.0699106293419997,0.0485296659171581,0.04564077968409103,1.4053855065250564,1.4053855065250564,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.R,0.07200677786022425,0.0443661324679852,0.048900805580570854,1.6957171807751052,1.6957171807751052,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2015.U,0.05604699440300464,0.0413413718342781,0.03390980823562822,1.301006110079593,1.301006110079593,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.1,0.0925556384027004,0.0521592870354652,0.05712906797393295,2.1213203435596424,2.1213203435596424,very_highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.2,0.0780540946871042,0.0343853123486042,0.06175698423542539,2.121320343559642,2.121320343559642,very_highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.3,0.06946620438247919,0.0296829957515001,0.05626195320064901,2.1213203435596424,2.1213203435596424,very_highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.4,0.05421864986419675,0.019012413918972,0.049789136353844,2.1213203435596424,2.1213203435596424,very_highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.5,0.04500199016183615,0.0206692274659872,0.034411723014475704,2.1213203435596424,2.1213203435596424,very_highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.A,0.059757119665543236,0.036831196397543,0.04169453976150594,1.649562993078031,1.649562993078031,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.F,0.0533989320198695,0.0346355512738228,0.04154741024903198,1.3548411778433678,1.3548411778433678,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.M,0.06568900992472966,0.0430554263293743,0.042906171865916026,1.5825404092972775,1.5825404092972775,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.R,0.0676292342444261,0.0415897630155087,0.05098158405465667,1.5322869058560933,1.5322869058560933,highly_skewed,mad
SE.CLO.9.LDSEV.S.TMS.2019.U,0.052925919493039465,0.0329811163246632,0.03550544171113029,1.6852180010021347,1.6852180010021347,highly_skewed,mad
SE.CLO.9.PRF.M.TMS.2007.1,0.3817862868309021,0.3817862868309021,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.2,0.585232138633728,0.585232138633728,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.3,0.6174032092094421,0.6174032092094421,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.4,0.689254105091095,0.689254105091095,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.5,0.752130389213562,0.752130389213562,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.A,0.6014041304588318,0.6014041304588318,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.F,0.6074798107147217,0.6074798107147217,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.M,0.5951216220855713,0.5951216220855713,,0.0,0.0,nearly_symmetric,zscore
SE.CLO.9.PRF.M.TMS.2007.R,0.6144393682479858,0.6144393682479858,,0.0,0.0,nearly_symmetric,zscore
