INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value
UIS.SF.C.26548,,,,,,,,,,MAR,Morocco,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2022,111.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MDG,Madagascar,Learning-Adjusted Years of School,Sub-Saharan Africa,Low income,IDA,true,2020,4.713440895080566
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MKD,North Macedonia,Learning-Adjusted Years of School,Europe & Central Asia,Upper middle income,IBRD,true,2020,7.296404838562012
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MLI,Mali,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,307.3649597167969
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MLT,Malta,"Learning-Adjusted Years of School, Female","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,10.57107067108154
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MNG,Mongolia,"Learning-Adjusted Years of School, Male",East Asia & Pacific,Upper middle income,IBRD,true,2020,9.134093284606934
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NAM,Namibia,Learning-Adjusted Years of School,Sub-Saharan Africa,Lower middle income,IBRD,true,2020,6.106064796447754
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NGA,Nigeria,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Lower middle income,Blend,true,2020,5.090014934539795
UIS.SF.C.26548,,,,,,,,,,NRU,Nauru,"Asia: Students from Malaysia, both sexes (number)",East Asia & Pacific,High income,IBRD,true,2008,0.0
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NZL,New Zealand,"Harmonized Test Scores, Female",East Asia & Pacific,High income,,true,2020,522.7344360351562
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PHL,Philippines,"Learning-Adjusted Years of School, Male",East Asia & Pacific,Lower middle income,IBRD,true,2020,7.22468090057373
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PNG,Papua New Guinea,"Harmonized Test Scores, Male",East Asia & Pacific,Lower middle income,Blend,true,2020,359.1444091796875
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,POL,Poland,"Harmonized Test Scores, Female",Europe & Central Asia,High income,IBRD,true,2020,535.3515625
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PSE,West Bank and Gaza,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,true,2020,412.3177490234375
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,QAT,Qatar,"Harmonized Test Scores, Female","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,449.7692565917969
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,RWA,Rwanda,"Harmonized Test Scores, Female",Sub-Saharan Africa,Low income,IDA,true,2020,365.0963134765625
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SGP,Singapore,"Learning-Adjusted Years of School, Male",East Asia & Pacific,High income,,true,2020,12.76636791229248
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLB,Solomon Islands,"Harmonized Test Scores, Male",East Asia & Pacific,Lower middle income,IDA,true,2020,339.3473815917969
UIS.SF.C.26548,,,,,,,,,,SLB,Solomon Islands,"Asia: Students from Malaysia, both sexes (number)",East Asia & Pacific,Lower middle income,IDA,true,2008,0.0
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SRB,Serbia,"Learning-Adjusted Years of School, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,9.580314636230469
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SWZ,Eswatini,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Lower middle income,Blend,true,2010,3.914885520935059
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SYC,Seychelles,Harmonized Test Scores,Sub-Saharan Africa,High income,IBRD,true,2020,463.3793334960938
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SYC,Seychelles,Learning-Adjusted Years of School,Sub-Saharan Africa,High income,IBRD,true,2020,9.700824737548828
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SYC,Seychelles,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,High income,IBRD,true,2010,8.820056915283203
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,THA,Thailand,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IBRD,true,2020,426.5999755859375
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,THA,Thailand,"Learning-Adjusted Years of School, Female",East Asia & Pacific,Upper middle income,IBRD,true,2020,8.88953685760498
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TJK,Tajikistan,"Harmonized Test Scores, Female",Europe & Central Asia,Lower middle income,IDA,true,2018,448.00390625
UIS.SF.C.26548,,,,,,,,,,TKM,Turkmenistan,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,Upper middle income,IBRD,true,2021,0.0
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TLS,Timor-Leste,"Harmonized Test Scores, Female",East Asia & Pacific,Lower middle income,Blend,true,2020,377.7607727050781
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,TLS,Timor-Leste,"Learning-Adjusted Years of School, Female",East Asia & Pacific,Lower middle income,Blend,true,2020,6.590042591094971
UIS.SF.C.26548,,,,,,,,,,TUN,Tunisia,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2022,10.0
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,UGA,Uganda,"Harmonized Test Scores, Male",Sub-Saharan Africa,Low income,IDA,true,2010,365.6459350585938
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,URY,Uruguay,Learning-Adjusted Years of School,Latin America & Caribbean,High income,IBRD,true,2020,8.551202774047852
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,URY,Uruguay,"Learning-Adjusted Years of School, Male",Latin America & Caribbean,High income,IBRD,true,2020,8.303365707397461
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,VNM,Vietnam,Learning-Adjusted Years of School,East Asia & Pacific,Lower middle income,IBRD,true,2020,10.6805419921875
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ZWE,Zimbabwe,Learning-Adjusted Years of School,Sub-Saharan Africa,Lower middle income,Blend,true,2020,7.00661039352417
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,AFG,Afghanistan,"Learning-Adjusted Years of School, Male","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2020,5.527434825897217
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BDI,Burundi,"Harmonized Test Scores, Male",Sub-Saharan Africa,Low income,IDA,true,2020,414.9550476074219
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BDI,Burundi,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Low income,IDA,true,2020,5.468072414398193
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGR,Bulgaria,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,441.0933227539063
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BGR,Bulgaria,Learning-Adjusted Years of School,Europe & Central Asia,High income,IBRD,true,2020,8.687309265136719
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BHR,Bahrain,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,451.7059936523438
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BIH,Bosnia and Herzegovina,"Harmonized Test Scores, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,411.6533203125
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BRN,Brunei Darussalam,"Harmonized Test Scores, Male",East Asia & Pacific,High income,,true,2020,430.0654296875
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BWA,Botswana,Harmonized Test Scores,Sub-Saharan Africa,Upper middle income,IBRD,true,2020,391.3182983398438
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CHN,China,"Harmonized Test Scores, Female",East Asia & Pacific,Upper middle income,IBRD,true,2020,441.0
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CMR,Cameroon,"Harmonized Test Scores, Male",Sub-Saharan Africa,Lower middle income,Blend,true,2020,375.5628662109375
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,CMR,Cameroon,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Lower middle income,Blend,true,2020,5.483067035675049
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COL,Colombia,"Harmonized Test Scores, Female",Latin America & Caribbean,Upper middle income,IBRD,true,2020,415.2518310546875
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,DNK,Denmark,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,,true,2020,10.9411792755127
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,EGY,"Egypt, Arab Rep.","Learning-Adjusted Years of School, Male","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,6.254446983337402
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ESP,Spain,"Harmonized Test Scores, Female",Europe & Central Asia,High income,,true,2020,504.2716979980469
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FRA,France,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,510.2605895996094
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,GBR,United Kingdom,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,,true,2020,11.52039813995361
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GMB,"Gambia, The","Harmonized Test Scores, Male",Sub-Saharan Africa,Low income,IDA,true,2020,352.1249389648438
UIS.SF.C.26548,,,,,,,,,,GMB,"Gambia, The","Asia: Students from Malaysia, both sexes (number)",Sub-Saharan Africa,Low income,IDA,true,2000,0.0
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GUY,Guyana,Harmonized Test Scores,Latin America & Caribbean,High income,IDA,true,2020,346.3659057617188
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GUY,Guyana,"Harmonized Test Scores, Male",Latin America & Caribbean,High income,IDA,true,2020,337.7708129882813
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HTI,Haiti,"Harmonized Test Scores, Male",Latin America & Caribbean,Lower middle income,IDA,true,2020,333.4346008300781
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HUN,Hungary,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,495.4812316894531
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,HUN,Hungary,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,,true,2020,10.23011779785156
UIS.SF.C.26548,,,,,,,,,,IRN,"Iran, Islamic Rep.","Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,true,2020,2.0
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,IRQ,Iraq,"Harmonized Test Scores, Male","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,true,2020,353.0837707519531
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,IRQ,Iraq,Learning-Adjusted Years of School,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,true,2020,4.030860424041748
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ISL,Iceland,"Harmonized Test Scores, Male",Europe & Central Asia,High income,,true,2020,487.6502075195313
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KAZ,Kazakhstan,"Harmonized Test Scores, Female",Europe & Central Asia,Upper middle income,IBRD,true,2020,421.8588256835938
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KEN,Kenya,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,454.9584045410156
UIS.SF.C.26548,,,,,,,,,,LKA,Sri Lanka,"Asia: Students from Malaysia, both sexes (number)",South Asia,Lower middle income,IDA,true,2022,17.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,LSO,Lesotho,Learning-Adjusted Years of School,Sub-Saharan Africa,Lower middle income,IDA,true,2020,6.314051151275635
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,LTU,Lithuania,"Learning-Adjusted Years of School, Female",Europe & Central Asia,High income,,true,2020,11.20040702819824
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LUX,Luxembourg,"Harmonized Test Scores, Male",Europe & Central Asia,High income,,true,2020,488.5407409667969
UIS.SF.C.26548,,,,,,,,,,MCO,Monaco,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,,true,2023,0.0
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MEX,Mexico,"Harmonized Test Scores, Female",Latin America & Caribbean,Upper middle income,IBRD,true,2020,428.2935485839844
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MLT,Malta,"Harmonized Test Scores, Male","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,461.0299377441406
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MMR,Myanmar,"Harmonized Test Scores, Female",East Asia & Pacific,Lower middle income,IDA,true,2020,431.4023132324219
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MOZ,Mozambique,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,368.2435913085938
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MWI,Malawi,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,359.4840698242188
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NER,Niger,Learning-Adjusted Years of School,Sub-Saharan Africa,Low income,IDA,true,2020,2.682461977005005
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NLD,Netherlands,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,519.6346435546875
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NPL,Nepal,Learning-Adjusted Years of School,South Asia,Lower middle income,IDA,true,2020,7.226661205291748
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PAK,Pakistan,Learning-Adjusted Years of School,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,true,2020,5.079235076904297
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PAN,Panama,"Harmonized Test Scores, Female",Latin America & Caribbean,High income,IBRD,true,2020,377.839111328125
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PER,Peru,"Harmonized Test Scores, Female",Latin America & Caribbean,Upper middle income,IBRD,true,2020,411.5269165039063
UIS.SF.C.26548,,,,,,,,,,PNG,Papua New Guinea,"Asia: Students from Malaysia, both sexes (number)",East Asia & Pacific,Lower middle income,Blend,true,1998,0.0
UIS.SF.C.26548,,,,,,,,,,POL,Poland,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,IBRD,true,2022,131.0
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PRT,Portugal,"Learning-Adjusted Years of School, Female",Europe & Central Asia,High income,,true,2020,11.28692150115967
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PRY,Paraguay,"Harmonized Test Scores, Male",Latin America & Caribbean,Upper middle income,IBRD,true,2020,388.3286437988281
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,QAT,Qatar,"Harmonized Test Scores, Male","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,405.82421875
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,RWA,Rwanda,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Low income,IDA,true,2020,3.733164310455322
UIS.SF.C.26548,,,,,,,,,,SAU,Saudi Arabia,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2022,386.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SDN,Sudan,Learning-Adjusted Years of School,Sub-Saharan Africa,Low income,IDA,true,2020,4.301437854766846
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SGP,Singapore,"Harmonized Test Scores, Female",East Asia & Pacific,High income,,true,2020,577.848876953125
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLE,Sierra Leone,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,315.8759460449219
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SSD,South Sudan,Learning-Adjusted Years of School,Sub-Saharan Africa,Low income,IDA,true,2020,2.511346340179443
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SVN,Slovenia,Learning-Adjusted Years of School,Europe & Central Asia,High income,,true,2020,11.37093925476074
UIS.SF.C.26548,,,,,,,,,,TON,Tonga,"Asia: Students from Malaysia, both sexes (number)",East Asia & Pacific,Upper middle income,IDA,true,2020,0.0
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TTO,Trinidad and Tobago,"Harmonized Test Scores, Female",Latin America & Caribbean,High income,IBRD,true,2020,471.1539306640625
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,TUN,Tunisia,"Learning-Adjusted Years of School, Female","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,6.940804958343506
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,UKR,Ukraine,"Learning-Adjusted Years of School, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,9.724555015563965
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ZWE,Zimbabwe,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Lower middle income,Blend,true,2010,6.716914176940918
UIS.SF.C.26548,,,,,,,,,,AFG,Afghanistan,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2020,0.0
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ALB,Albania,"Harmonized Test Scores, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,424.3446350097656
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ALB,Albania,"Learning-Adjusted Years of School, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,8.526799201965332
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ARM,Armenia,Learning-Adjusted Years of School,Europe & Central Asia,Upper middle income,IBRD,true,2020,7.994620800018311
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ATG,Antigua and Barbuda,Learning-Adjusted Years of School,Latin America & Caribbean,High income,IBRD,true,2020,8.444421768188477
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BEL,Belgium,"Harmonized Test Scores, Male",Europe & Central Asia,High income,,true,2020,516.1454467773438
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGD,Bangladesh,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,368.3152770996094
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BGR,Bulgaria,"Learning-Adjusted Years of School, Female",Europe & Central Asia,High income,IBRD,true,2020,8.841856002807617
UIS.SF.C.26548,,,,,,,,,,BGR,Bulgaria,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,IBRD,true,2021,3.0
