INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LKA,Sri Lanka,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,400.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,LVA,Latvia,Learning-Adjusted Years of School,Europe & Central Asia,High income,,true,2020,10.97880077362061
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MDA,Moldova,"Harmonized Test Scores, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,429.9052734375
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MDG,Madagascar,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Low income,IDA,true,2020,4.583313941955566
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MEX,Mexico,"Harmonized Test Scores, Male",Latin America & Caribbean,Upper middle income,IBRD,true,2020,431.9877014160156
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MHL,Marshall Islands,"Learning-Adjusted Years of School, Female",East Asia & Pacific,Upper middle income,IDA,true,2020,5.977338790893555
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MKD,North Macedonia,"Learning-Adjusted Years of School, Female",Europe & Central Asia,Upper middle income,IBRD,true,2020,7.512912750244141
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MRT,Mauritania,"Harmonized Test Scores, Male",Sub-Saharan Africa,Lower middle income,IDA,true,2020,340.4776916503906
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,MRT,Mauritania,Learning-Adjusted Years of School,Sub-Saharan Africa,Lower middle income,IDA,true,2020,4.231436729431152
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NAM,Namibia,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Lower middle income,IBRD,true,2010,5.52032995223999
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NER,Niger,"Harmonized Test Scores, Female",Sub-Saharan Africa,Low income,IDA,true,2020,302.0892944335938
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NER,Niger,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Low income,IDA,true,2020,2.438436508178711
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NIC,Nicaragua,"Harmonized Test Scores, Female",Latin America & Caribbean,Lower middle income,IDA,true,2020,392.0843811035156
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,NIC,Nicaragua,"Learning-Adjusted Years of School, Female",Latin America & Caribbean,Lower middle income,IDA,true,2020,6.964001655578613
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NLD,Netherlands,"Harmonized Test Scores, Female",Europe & Central Asia,High income,,true,2020,525.6600341796875
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NRU,Nauru,Harmonized Test Scores,East Asia & Pacific,High income,IBRD,true,2020,346.6296691894531
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,OMN,Oman,"Harmonized Test Scores, Male","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,403.9751586914063
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,OMN,Oman,"Learning-Adjusted Years of School, Female","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,9.207839965820312
UIS.SF.C.26548,,,,,,,,,,OMN,Oman,"Asia: Students from Malaysia, both sexes (number)","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2021,1.0
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PAK,Pakistan,"Learning-Adjusted Years of School, Male","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,true,2020,5.374704837799072
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PAN,Panama,"Learning-Adjusted Years of School, Male",Latin America & Caribbean,High income,IBRD,true,2020,6.384759426116943
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PHL,Philippines,Learning-Adjusted Years of School,East Asia & Pacific,Lower middle income,IBRD,true,2020,7.492333889007568
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,PLW,Palau,Learning-Adjusted Years of School,East Asia & Pacific,High income,IBRD,true,2020,8.692235946655273
UIS.SF.C.26548,,,,,,,,,,PRT,Portugal,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,,true,2021,7.0
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ROU,Romania,Learning-Adjusted Years of School,Europe & Central Asia,High income,IBRD,true,2020,8.369189262390137
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,RUS,Russian Federation,"Harmonized Test Scores, Female",Europe & Central Asia,High income,IBRD,true,2020,501.0059814453125
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,RUS,Russian Federation,"Harmonized Test Scores, Male",Europe & Central Asia,High income,IBRD,true,2020,494.0293579101563
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,RUS,Russian Federation,"Learning-Adjusted Years of School, Female",Europe & Central Asia,High income,IBRD,true,2020,10.97030544281006
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SAU,Saudi Arabia,"Harmonized Test Scores, Male","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,383.1060180664063
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SEN,Senegal,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Lower middle income,IDA,true,2020,5.174286842346191
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLB,Solomon Islands,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,350.5186157226563
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLB,Solomon Islands,"Harmonized Test Scores, Female",East Asia & Pacific,Lower middle income,IDA,true,2020,363.0516662597656
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SLE,Sierra Leone,"Learning-Adjusted Years of School, Male",Sub-Saharan Africa,Low income,IDA,true,2020,4.823602676391602
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,SLV,El Salvador,"Learning-Adjusted Years of School, Male",Latin America & Caribbean,Upper middle income,IBRD,true,2020,7.525253772735596
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SVN,Slovenia,"Harmonized Test Scores, Female",Europe & Central Asia,High income,,true,2020,529.572509765625
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TJK,Tajikistan,"Harmonized Test Scores, Male",Europe & Central Asia,Lower middle income,IDA,true,2018,440.9378356933594
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,TJK,Tajikistan,Learning-Adjusted Years of School,Europe & Central Asia,Lower middle income,IDA,true,2020,6.78547477722168
UIS.SF.C.26548,,,,,,,,,,TUV,Tuvalu,"Asia: Students from Malaysia, both sexes (number)",East Asia & Pacific,Upper middle income,IDA,true,2008,0.0
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TZA,Tanzania,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,388.4801635742188
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,USA,United States,Learning-Adjusted Years of School,North America,High income,,true,2020,10.55677032470703
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,UZB,Uzbekistan,Harmonized Test Scores,Europe & Central Asia,Lower middle income,Blend,true,2020,474.0751342773438
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,UZB,Uzbekistan,"Learning-Adjusted Years of School, Male",Europe & Central Asia,Lower middle income,Blend,true,2020,9.158077239990234
UIS.SF.C.26548,,,,,,,,,,VIR,Virgin Islands (U.S.),"Asia: Students from Malaysia, both sexes (number)",Latin America & Caribbean,High income,,true,2007,0.0
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,VNM,Vietnam,"Harmonized Test Scores, Male",East Asia & Pacific,Lower middle income,IBRD,true,2020,513.8037109375
UIS.SF.C.26548,,,,,,,,,,WSM,Samoa,"Asia: Students from Malaysia, both sexes (number)",East Asia & Pacific,Upper middle income,IDA,true,2022,0.0
UIS.SF.C.26548,,,,,,,,,,AND,Andorra,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,High income,,true,2022,0.0
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ARG,Argentina,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,408.1726379394531
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AUS,Australia,Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,515.6853637695312
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AZE,Azerbaijan,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,415.9461975097656
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BEN,Benin,"Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Lower middle income,IDA,true,2020,5.417771816253662
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGR,Bulgaria,"Harmonized Test Scores, Female",Europe & Central Asia,High income,IBRD,true,2020,451.3691711425781
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BGR,Bulgaria,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,IBRD,true,2020,8.551980018615723
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,BIH,Bosnia and Herzegovina,"Learning-Adjusted Years of School, Male",Europe & Central Asia,Upper middle income,IBRD,true,2020,7.67776346206665
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BLR,Belarus,"Harmonized Test Scores, Female",Europe & Central Asia,Upper middle income,IBRD,true,2020,490.4130554199219
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CAN,Canada,"Harmonized Test Scores, Female",North America,High income,,true,2020,538.5418701171875
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CHN,China,"Harmonized Test Scores, Male",East Asia & Pacific,Upper middle income,IBRD,true,2020,441.0
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CMR,Cameroon,"Harmonized Test Scores, Female",Sub-Saharan Africa,Lower middle income,Blend,true,2020,382.7994995117188
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,COD,"Congo, Dem. Rep.",Learning-Adjusted Years of School,Sub-Saharan Africa,Low income,IDA,true,2020,4.532275676727295
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,COG,"Congo, Rep.","Learning-Adjusted Years of School, Female",Sub-Saharan Africa,Lower middle income,Blend,true,2020,5.376408576965332
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COL,Colombia,"Harmonized Test Scores, Male",Latin America & Caribbean,Upper middle income,IBRD,true,2020,422.956298828125
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CRI,Costa Rica,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,428.5556945800781
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,CRI,Costa Rica,"Learning-Adjusted Years of School, Male",Latin America & Caribbean,High income,IBRD,true,2020,8.953508377075195
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CYP,Cyprus,"Harmonized Test Scores, Male",Europe & Central Asia,High income,,true,2020,503.8149719238281
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,EGY,"Egypt, Arab Rep.","Harmonized Test Scores, Female","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,368.0671997070313
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,EST,Estonia,Learning-Adjusted Years of School,Europe & Central Asia,High income,,true,2020,11.71931266784668
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,ETH,Ethiopia,Learning-Adjusted Years of School,Sub-Saharan Africa,,IDA,true,2020,4.349112510681152
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FIN,Finland,"Harmonized Test Scores, Female",Europe & Central Asia,High income,,true,2020,547.807861328125
HD.HCI.LAYS,Learning-Adjusted Years of School,_T,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,FIN,Finland,Learning-Adjusted Years of School,Europe & Central Asia,High income,,true,2020,11.7387523651123
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GAB,Gabon,"Harmonized Test Scores, Male",Sub-Saharan Africa,Upper middle income,IBRD,true,2020,457.9222412109375
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GHA,Ghana,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,307.2757873535156
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HUN,Hungary,"Harmonized Test Scores, Male",Europe & Central Asia,High income,,true,2020,493.6636352539063
HD.HCI.LAYS.MA,Learning-Adjusted Years of School,M,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,IRL,Ireland,"Learning-Adjusted Years of School, Male",Europe & Central Asia,High income,,true,2020,11.51020240783691
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ISR,Israel,"Harmonized Test Scores, Female","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,493.0715637207031
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KGZ,Kyrgyz Republic,"Harmonized Test Scores, Male",Europe & Central Asia,Lower middle income,IDA,true,2020,414.4076232910156
HD.HCI.LAYS.FE,Learning-Adjusted Years of School,F,_T,_T,_Z,HD.HCI.LAYS,NUMBER,NUMBER,Learning-Adjusted Years of School,KGZ,Kyrgyz Republic,"Learning-Adjusted Years of School, Female",Europe & Central Asia,Lower middle income,IDA,true,2020,8.786382675170898
UIS.SF.C.26548,,,,,,,,,,KGZ,Kyrgyz Republic,"Asia: Students from Malaysia, both sexes (number)",Europe & Central Asia,Lower middle income,IDA,true,2022,0.0
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KOR,"Korea, Rep.","Harmonized Test Scores, Male",East Asia & Pacific,High income,,true,2020,534.8189697265625
HD.HCI.HLOS.FE,Harmonized Test Scores,F,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KWT,Kuwait,"Harmonized Test Scores, Female","Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,397.534423828125
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LAO,Lao PDR,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,368.14208984375
HD.HCI.HLOS.MA,Harmonized Test Scores,M,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LBR,Liberia,"Harmonized Test Scores, Male",Sub-Saharan Africa,Low income,IDA,true,2020,335.3847351074219
