INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,Country_name_std
SE.CLO.5.PRF.R.PRL.2001.2,"Above Proficiency;PIRLS for grade 5 using MPL Low (400 points) for reading, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.5.PRF.R.PRL,SHARE,NUMBER,Above Proficiency;PIRLS for grade 5 using MPL Low (400 points) for reading,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.6.LDGAP.R.SAC.2000.2,"Learning Deprivation Gap;SACMEQ for grade 6 using MPL Level 5 for reading, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.6.LDGAP.R.SAC,NUMBER,NUMBER,Learning Deprivation Gap;SACMEQ for grade 6 using MPL Level 5 for reading,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.6.PRF.R.SAC.2000.2,"Above Proficiency;SACMEQ for grade 6 using MPL Level 5 for reading, Second Quintile",_T,_T,_T,WB_EDSTATS_Q2,SE.CLO.6.PRF.R.SAC,SHARE,NUMBER,Above Proficiency;SACMEQ for grade 6 using MPL Level 5 for reading,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.8.LDSEV.M.TMS.2007.1,Learning Deprivation Severity;TIMSS for grade 8 using MPL Low (400 points) for math,_T,_T,_T,WB_EDSTATS_Q1,SE.CLO.8.LDSEV.M.TMS,NUMBER,NUMBER,Learning Deprivation Severity;TIMSS for grade 8 using MPL Low (400 points) for math,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.CLO.9.LDSEV.M.TMS.2011.5,"Learning Deprivation Severity;TIMSS for grade 9 using MPL Low (400 points) for math, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.9.LDSEV.M.TMS,NUMBER,NUMBER,Learning Deprivation Severity;TIMSS for grade 9 using MPL Low (400 points) for math,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.CR.1.URB.Q5.F,"Completion rate, primary education, urban, richest quintile (%)",F,URB,_T,WB_EDSTATS_Q5,UIS.CR.1,SHARE,NUMBER,"Completion rate, primary education (%)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.E.01.M,Enrolment in early childhood educational development programmes (number),M,_T,_T,_Z,UIS.E.01,SHARE,NUMBER,Enrolment in early childhood educational development programmes (number),XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.GAR.5T8.Q2.M.LPIA,"Gross attendance ratio for tertiary education, second quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q2,UIS.GAR.5T8.M.LPIA,NUMBER,NUMBER,"Gross attendance ratio for tertiary education, adjusted location parity index (LPIA)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.ICTSKILLCONNEC.F,Proportion of youth and adults who have connected and installed new devices (%),F,_T,_T,_Z,UIS.ICTSKILLCONNEC,SHARE,NUMBER,Proportion of youth and adults who have connected and installed new devices (%),XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.ILLPOP.AG25T64.F,"Illiterate population, 25-64 years (number)",F,_T,Y25T64,_Z,UIS.ILLPOP,NUMBER,NUMBER,Illiterate population (number),XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.LR.AG15T99.M.LPIA,"Adult literacy rate, population 15+ years, adjusted location parity index (LPIA)",_T,_T,Y15T99,_Z,UIS.LR.M.LPIA,NUMBER,NUMBER,"Youth literacy rate, adjusted location parity index (LPIA)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.LR.AG65.M,"Elderly literacy rate, population 65+ years (%)",M,_T,Y65,_Z,UIS.LR,SHARE,NUMBER,Youth literacy rate (%),XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.NARA.AGM1.RUR.WPIA,"Adjusted net attendance rate, one year before the official primary entry age adjusted wealth parity index (WPIA)",_T,RUR,_T,_Z,UIS.NARA.AGM1.WPIA,SHARE,NUMBER,"Adjusted net attendance rate, one year before the official primary entry age adjusted wealth parity index (WPIA)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.OE.56.40510,"Total outbound internationally mobile tertiary students studying abroad, all countries, (number)",_T,_T,_T,_Z,UIS.OE.56.40510,SHARE,NUMBER,"Total outbound internationally mobile tertiary students studying abroad, all countries, (number)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.ROFST.H.3.Q5.F,"Out-of-school rate for youth of upper secondary school age, richest quintile (household survey data) (%)",F,_T,_T,WB_EDSTATS_Q5,UIS.ROFST.H.3,SHARE,NUMBER,"Out-of-school rate for youth of upper secondary school age, (household survey data) (%)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.ROFST.H.3.URB.M.WPIA,"Out-of-school rate for youth of upper secondary school age, urban, adjusted wealth parity index (household survey data) (WPIA)",_T,URB,_T,_Z,UIS.ROFST.H.3.M.WPIA,SHARE,NUMBER,"Out-of-school rate for youth of upper secondary school age, adjusted wealth parity index (household survey data) (WPIA)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.SCHBSP.1.WCOMPUT,Proportion of primary schools with access to computers for pedagogical purposes (%),_T,_T,_T,_Z,UIS.SCHBSP.1.WCOMPUT,SHARE,NUMBER,Proportion of primary schools with access to computers for pedagogical purposes (%),XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.SLE.1.M,"School life expectancy, primary (years)",M,_T,_T,_Z,UIS.SLE.1,SHARE,NUMBER,"School life expectancy, primary, (years)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.SLE.123.M,"School life expectancy, primary and secondary (years)",M,_T,_T,_Z,UIS.SLE.123,SHARE,NUMBER,"School life expectancy, primary and secondary, (years)",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
UIS.SR.1.G4.F,Survival rate to Grade 4 of primary education (%),F,_T,_T,_Z,UIS.SR.1.G4,SHARE,NUMBER,Survival rate to Grade 4 of primary education (%),XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.PRM.ISTD.7,(De Jure) Is there a policy in place to require that schools have access to electricity?,_T,_T,_T,_Z,SE.PRM.ISTD.7,CAT_YES_NO,NUMBER,(De Jure) Is there a policy in place to require that schools have access to electricity?,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.PRM.LCAP.4,(De Facto) Average executive funcion score for 1st Graders,_T,_T,_T,_Z,SE.PRM.LCAP.4,SHARE,NUMBER,(De Facto) Average executive funcion score for 1st Graders,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.PRM.OPMN.1.U,(De Facto) Average score for the presence and quality of core operational management functions - Urban,_T,URB,_T,_Z,SE.PRM.OPMN.1,IX_1T5,NUMBER,(De Facto) Average score for the presence and quality of core operational management functions,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
SE.PRM.TINM.2,"\"(De Facto) Percent of teachers that agree or strongly agrees with \"\"It is acceptable for a teacher to be absent if students are left with work to do\"\"\"",_T,_T,_T,_Z,SE.PRM.TINM.2,SHARE,NUMBER,"\"(De Facto) Percent of teachers that agree or strongly agrees with \"\"It is acceptable for a teacher to be absent if students are left with work to do\"\"\"",XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kosovo
