Indicator name,non_null_values
"Enrolment in secondary education, both sexes (number)",47
"Repeaters in grade unknown of lower secondary general education, male (number)",47
"Africa: Students from Tunisia, both sexes (number)",47
"Gross enrolment ratio, primary and secondary, both sexes (%)",46
"Caribbean and Central America: Students from Saint Vincent and the Grenadines, both sexes (number)",45
"Repetition rate in Grade 4 of primary education, both sexes (%)",45
"Out-of-school children of primary school age, male (number)",45
"Caribbean and Central America: Students from Guatemala, both sexes (number)",45
"Africa: Students from the Central African Republic, both sexes (number)",45
"Europe: Students from unknown countries, both sexes (number)",45
"Asia: Students from Singapore, both sexes (number)",45
"Repeaters in grade unknown of primary education, male (number)",44
Initial government funding per pre-primary student as a percentage of GDP per capita,44
"Youth literacy rate, population 15-24 years, female (%)",44
"School life expectancy, secondary, both sexes (years)",44
"Teachers in post-secondary non-tertiary education, male (number)",43
"Repeaters in Grade 6 of lower secondary general education, male (number)",43
"School life expectancy, primary and lower secondary, female (years)",43
"Repetition rate in Grade 7 of primary education, male (%)",43
"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",42
"Youth literacy rate, population 15-24 years, both sexes (%)",42
"Enrolment in pre-primary education, both sexes (number)",42
"Outbound mobility ratio to East Asia and the Pacific, both sexes (%)",42
"Caribbean and Central America: Students from Dominica, both sexes (number)",42
"Percentage of graduates from tertiary education graduating from Information and Communication Technologies programmes, both sexes (%)",41
"Out-of-school rate for youth of upper secondary school age, female (%)",40
Government expenditure on education as a percentage of GDP (%),40
"North America: Students from unknown countries, both sexes (number)",40
Capital expenditure as a percentage of total expenditure in pre-primary public institutions (%),40
"Asia: Students from Bangladesh, both sexes (number)",39
"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",39
"Gross enrolment ratio, upper secondary, female (%)",39
"Gross enrolment ratio, upper secondary, both sexes (%)",39
"Total net enrolment rate, lower secondary, female (%)",39
"Adjusted net enrolment rate, one year before the official primary entry age, male (%)",39
"Repetition rate in Grade 1 of lower secondary general education, both sexes (%)",39
"Oceania: Students from Fiji, both sexes (number)",38
"Gross intake ratio to the last grade of primary education, male (%)",38
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",38
"Enrolment in post-secondary non-tertiary education, both sexes (number)",38
"Total net enrolment rate, upper secondary, both sexes (%)",38
"Inbound internationally mobile students from sub-Saharan Africa, both sexes (number)",38
Current expenditure other than staff compensation as a percentage of total expenditure in secondary public institutions (%),37
"School life expectancy, pre-primary, male (years)",37
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, both sexes (%)",37
"Total net enrolment rate, upper secondary, male (%)",37
Percentage of enrolment in early childhood educational development programmes in private institutions (%),37
"Repetition rate in Grade 3 of lower secondary general education, female (%)",37
Government expenditure on primary education as a percentage of GDP (%),36
"Out-of-school rate for children of primary school age, female (%)",36
"Completion rate, upper secondary education, adjusted location parity index (LPIA)",36
Number of years of free pre-primary education guaranteed in legal frameworks,36
"Caribbean and Central America: Students from the Turks and Caicos Islands, both sexes (number)",36
All staff compensation as a percentage of total expenditure in tertiary public institutions (%),36
Percentage of teachers in lower secondary education who are female (%),36
"Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)",36
"Asia: Students from Maldives, both sexes (number)",36
"Asia: Students from Armenia, both sexes (number)",35
"Proportion of teachers with the minimum required qualifications in pre-primary education, female (%)",35
"Repeaters in Grade 6 of primary education, female (number)",35
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",35
Non-teaching staff compensation as a percentage of total expenditure in tertiary public institutions (%),35
"Enrolment in early childhood educational development programmes, male (number)",35
"Completion rate, lower secondary education, female (%)",34
"Initial government funding per pre-primary student, constant PPP$",34
"Completion rate, primary education, male (%)",34
"Asia: Students from Uzbekistan, both sexes (number)",34
"Proportion of 15- to 24-year-olds enrolled in vocational education, female (%)",34
"Repeaters in Grade 1 of primary education, male (number)",33
"Asia: Students from the Philippines, both sexes (number)",33
"Repeaters in Grade 2 of lower secondary general education, both sexes (number)",33
"Completion rate, upper secondary education, both sexes (%)",33
"Out-of-school youth of upper secondary school age, both sexes (number)",33
"Percentage of graduates from tertiary education graduating from Agriculture, Forestry, Fisheries and Veterinary programmes, both sexes (%)",33
"Africa: Students from Morocco, both sexes (number)",33
Proportion of lower secondary schools with access to electricity (%),33
All staff compensation as a percentage of total expenditure in secondary public institutions (%),32
"Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, both sexes (household survey data) (%)",32
"Proportion of teachers with the minimum required qualifications in secondary education, both sexes (%)",32
"Proportion of teachers with the minimum required qualifications in pre-primary education, male (%)",32
"Caribbean and Central America: Students from Cuba, both sexes (number)",32
"Adult illiterate population, 15+ years, % female",32
"Repeaters in Grade 4 of lower secondary general education, male (number)",32
Current expenditure as a percentage of total expenditure in tertiary public institutions (%),32
"Out-of-school rate for children one year younger than official primary entry age, both sexes (%)",32
"Completion rate, primary education, female (%)",32
"Enrolment in primary education, male (number)",31
"Oceania: Students from the Marshall Islands, both sexes (number)",31
"Government expenditure on post-secondary non-tertiary education, constant US$ (millions)",31
"Repetition rate in Grade 4 of lower secondary general education, both sexes (%)",31
"Repetition rate in Grade 5 of primary education, female (%)",31
"Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, both sexes (%)",31
"Asia: Students from Viet Nam, both sexes (number)",31
"Survival rate to Grade 5 of primary education, male (%)",31
"Asia: Students from Japan, both sexes (number)",31
"Teachers in upper secondary education, both sexes (number)",31
Initial household funding per primary student as a percentage of GDP per capita,30
"Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",30
"North America: Students from Canada, both sexes (number)",30
"South America: Students from Argentina, both sexes (number)",30
"Repeaters in Grade 3 of primary education, both sexes (number)",30
Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),30
"Survival rate to Grade 5 of primary education, both sexes (%)",30
Percentage of teachers in pre-primary education who are female (%),30
"Africa: Students from Uganda, both sexes (number)",30
"Gross enrolment ratio, secondary, male (%)",30
"Africa: Students from Sao Tome and Principe, both sexes (number)",30
Administration of a nationally-representative learning assessment at the end of primary in reading (number),30
"Proportion of 15- to 24-year-olds enrolled in vocational education, male (%)",29
"Enrolment in secondary education, female (number)",29
"Completion rate, upper secondary education, rural, richest quintile, male (%)",29
"Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)",29
"Gross enrolment ratio, primary and secondary, female (%)",29
"Caribbean and Central America: Students from Jamaica, both sexes (number)",29
Current expenditure other than staff compensation as a percentage of total expenditure in pre-primary public institutions (%),29
"Completion rate, primary education, urban, second quintile, female (%)",29
"Europe: Students from Norway, both sexes (number)",29
Share of all students in lower secondary education enrolled in vocational programmes (%),29
"Oceania: Students from the Federated States of Micronesia, both sexes (number)",29
"School life expectancy, secondary, male (years)",29
"Inbound internationally mobile students from Latin America and the Caribbean, both sexes (number)",29
"Repetition rate in Grade 6 of primary education, female (%)",28
"Asia: Students from Thailand, both sexes (number)",28
"Percentage of graduates from tertiary education graduating from Education programmes, both sexes (%)",28
"Asia: Students from Oman, both sexes (number)",28
"Inbound mobility rate, female (%)",28
"Completion rate, upper secondary education, rural, fourth quintile, female (%)",28
Initial government funding per lower secondary student as a percentage of GDP per capita,28
"Completion rate, lower secondary education, rural, both sexes (%)",27
Government expenditure on tertiary education as a percentage of GDP (%),27
"Percentage of graduates from tertiary education graduating from Social Sciences, Journalism and Information programmes, both sexes (%)",27
"Out-of-school rate for youth of upper secondary school age, second quintile, both sexes (household survey data) (%)",27
"Completion rate, lower secondary education, second quintile, both sexes (%)",27
"Government expenditure on education, PPP$ (millions)",27
"Gross enrolment ratio, secondary, both sexes (%)",27
"Completion rate, lower secondary education, urban, middle quintile, male (%)",27
"Completion rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)",27
End month of the academic school year (pre-primary to post-secondary non-tertiary education),27
"Gross enrolment ratio, primary and lower secondary, both sexes (%)",27
All staff compensation as a percentage of total expenditure in upper secondary public institutions (%),27
"Africa: Students from South Sudan, both sexes (number)",27
"Repeaters in Grade 3 of primary education, female (number)",26
"Oceania: Students from Kiribati, both sexes (number)",26
"Repetition rate in Grade 1 of lower secondary general education, male (%)",26
Number of years of compulsory pre-primary education guaranteed in legal frameworks,26
"Europe: Students from Bosnia and Herzegovina, both sexes (number)",26
"Government expenditure on primary education, US$ (millions)",26
"Repetition rate in Grade 5 of primary education, both sexes (%)",26
"School age population, early childhood education, female (number)",26
"Survival rate to Grade 5 of primary education, female (%)",26
"Asia: Students from the Democratic People's Republic of Korea, both sexes (number)",26
"Outbound mobility ratio to South and West Asia, both sexes (%)",26
"Out-of-school rate for children of primary school age, urban, adjusted wealth parity index (household survey data) (WPIA)",26
"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",26
"Outbound mobility ratio, all regions, both sexes (%)",26
"Completion rate, upper secondary education, richest quintile, male (%)",26
"Gross enrolment ratio, primary to tertiary, female (%)",26
"School age population, tertiary education, female (number)",26
"Gross enrolment ratio, upper secondary, male (%)",26
"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)",26
Official entrance age to early childhood education (years),25
"School life expectancy, primary and secondary, both sexes (years)",25
"Oceania: Students from unknown countries, both sexes (number)",25
"Enrolment in early childhood education, both sexes (number)",25
"School life expectancy, tertiary, both sexes (years)",25
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, both sexes (%)",25
End of the academic school year (tertiary education),25
"Repeaters in grade unknown of primary education, female (number)",25
"Out-of-school children, one year before than official primary entry age, female (number)",25
"Completion rate, upper secondary education, fourth quintile, male (%)",25
"Completion rate, lower secondary education, rural, middle quintile, both sexes (%)",25
"Total net attendance rate, primary, rural, female (%)",25
Percentage of teachers in post-secondary non-tertiary education who are female (%),25
"School life expectancy, primary and secondary, female (years)",25
"Asia: Students from the Islamic Republic of Iran, both sexes (number)",24
"Asia: Students from Georgia, both sexes (number)",24
"Asia: Students from Lebanon, both sexes (number)",24
"Completion rate, upper secondary education, urban, male (%)",24
"Total outbound internationally mobile tertiary students studying abroad, all countries, both sexes (number)",24
"Europe: Students from the Netherlands, both sexes (number)",24
"Completion rate, upper secondary education, rural, second quintile, male (%)",24
"Total net attendance rate, lower secondary, adjusted location parity index (LPIA)",24
"Enrolment in tertiary education, all programmes, both sexes (number)",24
"Enrolment in pre-primary education, female (number)",24
"Teachers in secondary education, male (number)",24
"South America: Students from the Bolivarian Republic of Venezuela, both sexes (number)",24
"Enrolment in upper secondary education, both sexes (number)",24
"Europe: Students from Switzerland, both sexes (number)",24
"Enrolment in tertiary education, ISCED 5 programmes, female (number)",24
"Inbound internationally mobile students from East Asia and the Pacific, both sexes (number)",24
"Completion rate, primary education, middle quintile, male (%)",24
"Adjusted net attendance rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",24
