Indicator name,non_null_values
"Adjusted net attendance rate, one year before the official primary entry age, rural, both sexes (%)",13
"Europe: Students from France, both sexes (number)",13
Current expenditure other than staff compensation as a percentage of total expenditure in primary public institutions (%),13
Share of all students in upper secondary education enrolled in vocational programmes (%),13
"South America: Students from Guyana, both sexes (number)",13
"Completion rate, lower secondary education, rural, adjusted wealth parity index (WPIA)",13
"Adult literacy rate, population 15+ years, both sexes (%)",13
"Completion rate, upper secondary education, rural, female, adjusted wealth parity index (WPIA)",13
"Gross intake ratio to the last grade of primary education, both sexes (%)",13
"Completion rate, primary education, rural, middle quintile, male (%)",13
"Completion rate, primary education, adjusted wealth parity index (WPIA)",13
"School age population, post-secondary non-tertiary education, female (number)",13
"Repetition rate in lower secondary general education (all grades), female (%)",13
"Oceania: Students from New Zealand, both sexes (number)",13
Proportion of upper secondary schools with access to electricity (%),13
Current expenditure as a percentage of total expenditure in secondary public institutions (%),13
"Completion rate, upper secondary education, urban, both sexes (%)",13
"Survival rate to the last grade of primary education, male (%)",13
"Total net attendance rate, lower secondary, urban, fourth quintile, both sexes (%)",13
"Youth literacy rate, population 15-24 years, male (%)",13
"Total net attendance rate, primary, rural, middle quintile, both sexes (%)",13
"Youth illiterate population, 15-24 years, % female",12
"Adjusted net attendance rate, one year before the official primary entry age, female, adjusted location parity index (LPIA)",12
"Repeaters in Grade 6 of primary education, both sexes (number)",12
"Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, adjusted gender parity index (GPIA)",12
"Out-of-school adolescents and youth of secondary school age, both sexes (number)",12
Capital expenditure as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),12
"Completion rate, lower secondary education, rural, adjusted gender parity index (GPIA)",12
"Repeaters in Grade 3 of lower secondary general education, female (number)",12
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, female (%)",12
"Completion rate, upper secondary education, rural, poorest quintile, male (%)",12
"Outbound mobility ratio to Central and Eastern Europe, both sexes (%)",12
"Out-of-school rate for youth of upper secondary school age, rural, adjusted wealth parity index (household survey data) (WPIA)",12
"Outbound mobility ratio to Latin America and the Caribbean, both sexes (%)",12
Proportion of primary schools with single-sex basic sanitation facilities (%),12
"Teachers in tertiary education programmes, male (number)",12
Non-teaching staff compensation as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),12
"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",12
"Out-of-school rate for children of primary school age, urban, richest quintile, female (household survey data) (%)",12
"Government expenditure on primary education, constant US$ (millions)",12
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, male (household survey data) (%)",12
"Completion rate, upper secondary education, female (%)",12
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, male (%)",11
"Completion rate, lower secondary education, rural, second quintile, adjusted gender parity index (GPIA)",11
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, both sexes (%)",11
"School age population, post-secondary non-tertiary education, both sexes (number)",11
"Repetition rate in Grade 2 of primary education, male (%)",11
"Completion rate, upper secondary education, rural, richest quintile, female (%)",11
All staff compensation as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),11
"Out-of-school adolescents of lower secondary school age, female (number)",11
"Teachers in post-secondary non-tertiary education, both sexes (number)",11
"Completion rate, upper secondary education, urban, poorest quintile, male (%)",11
End month of the academic school year (tertiary education),11
Pupil-qualified teacher ratio in upper secondary (headcount basis),11
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, adjusted gender parity index (GPIA)",11
"Completion rate, upper secondary education, fourth quintile, male, adjusted location parity index (LPIA)",11
"Completion rate, upper secondary education, middle quintile, female, adjusted location parity index (LPIA)",11
"South America: Students from Chile, both sexes (number)",11
"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",11
"Europe: Students from Portugal, both sexes (number)",11
"Out-of-school adolescents and youth of secondary school age, female (number)",11
"Asia: Students from Cyprus, both sexes (number)",11
"Africa: Students from Malawi, both sexes (number)",11
"School age population, early childhood educational development programmes, both sexes (number)",11
"Caribbean and Central America: Students from Panama, both sexes (number)",11
"Out-of-school rate for adolescents of lower secondary school age, middle quintile, both sexes (household survey data) (%)",11
"Completion rate, primary education, richest quintile, male, adjusted location parity index (LPIA)",11
"Total net enrolment rate, lower secondary, both sexes (%)",11
"Government expenditure on pre-primary education, constant PPP$ (millions)",10
SD = ANER; Male,10
"Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)",10
All staff compensation as a percentage of total expenditure in public institutions (%),10
"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",10
"Africa: Students from the Gambia, both sexes (number)",10
Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),10
"Asia: Students from Qatar, both sexes (number)",10
"Out-of-school rate for youth of upper secondary school age, richest quintile, male, adjusted location parity index (household survey data) (LPIA)",10
"Asia: Students from Israel, both sexes (number)",10
"Enrolment in tertiary education, ISCED 7 programmes, female (number)",10
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, did not speak the language of the test at home, both sexes (%)",10
LDGAP: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,10
"Out-of-school rate for youth of upper secondary school age, poorest quintile, male, adjusted location parity index (household survey data) (LPIA)",10
LPGAP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading;,10
"Oceania: Students from Niue, both sexes (number)",10
"Outbound internationally mobile tertiary students studying in the Arab States, both sexes (number)",10
"Africa: Students from Egypt, both sexes (number)",10
"Survival rate to Grade 4 of primary education, female (%)",10
"Out-of-school rate for adolescents of lower secondary school age, second quintile, male (household survey data) (%)",10
Current expenditure as a percentage of total expenditure in public institutions (%),10
"Teachers in tertiary education ISCED 5 programmes, both sexes (number)",10
"Out-of-school rate for adolescents of lower secondary school age, urban, male (household survey data) (%)",10
Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),10
"Caribbean and Central America: Students from the British Virgin Islands, both sexes (number)",10
"Caribbean and Central America: Students from Mexico, both sexes (number)",10
"Percentage of qualified teachers in lower secondary education, female (%)",10
"Caribbean and Central America: Students from the Netherlands Antilles, both sexes (number)",10
Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),10
"Adult illiterate population, 15+ years, both sexes (number)",10
"Repetition rate in Grade 5 of primary education, male (%)",10
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, female (%)",9
"Government expenditure on education not specified by level, constant PPP$ (millions)",9
"Africa: Students from Namibia, both sexes (number)",9
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, both sexes (%)",9
"Africa: Students from Botswana, both sexes (number)",9
"School life expectancy, post-secondary non-tertiary, male (years)",9
"Out-of-school rate for youth of upper secondary school age, rural, poorest quintile, both sexes (household survey data) (%)",9
"Out-of-school rate for youth of upper secondary school age, second quintile, female (household survey data) (%)",9
Initial household funding per secondary student as a percentage of GDP per capita,9
"Total net attendance rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)",9
"Out-of-school rate for adolescents of lower secondary school age, both sexes (household survey data) (%)",9
"Africa: Students from the United Republic of Tanzania, both sexes (number)",9
All staff compensation as a percentage of total expenditure in primary public institutions (%),9
"Asia: Students from Bhutan, both sexes (number)",9
"Percentage of qualified teachers in pre-primary education, both sexes (%)",9
Capital expenditure as a percentage of total expenditure in primary public institutions (%),9
"Africa: Students from Niger, both sexes (number)",9
"Total net attendance rate, primary education, urban, adjusted wealth parity index (WPIA)",9
"Gross enrolment ratio, primary to tertiary, both sexes (%)",9
"Europe: Students from Slovenia, both sexes (number)",9
"Completion rate, upper secondary education, middle quintile, both sexes (%)",9
"Completion rate, primary education, poorest quintile, female (%)",9
"Mean years of schooling (ISCED 1 or higher), population 25+ years, female",9
"South America: Students from Colombia, both sexes (number)",9
"Inbound internationally mobile students from Asia, both sexes (number)",9
"Out-of-school rate for children of primary school age, rural, fourth quintile, male (household survey data) (%)",9
"Africa: Students from Equatorial Guinea, both sexes (number)",9
"Out-of-school rate for youth of upper secondary school age, male (%)",9
Initial government funding per primary student as a percentage of GDP per capita,9
"Inbound internationally mobile students from the Caribbean and Central America, both sexes (number)",9
"Government expenditure on education, constant US$ (millions)",9
"Total net attendance rate, lower secondary, urban, both sexes (%)",9
Proportion of primary schools with access to electricity (%),9
"Total net attendance rate, primary, rural, poorest quintile, male (%)",9
"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",9
"Enrolment in tertiary education, ISCED 7 programmes, male (number)",9
"Asia: Students from Kuwait, both sexes (number)",9
Proportion of upper secondary schools with access to basic drinking water (%),9
"Europe: Students from Germany, both sexes (number)",9
"Completion rate, lower secondary education, poorest quintile, both sexes (%)",9
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, female (%)",8
"Probability of Survival to Age 5, Female",8
"Out-of-school rate for children of primary school age, rural, poorest quintile, male (household survey data) (%)",8
"Out-of-school rate for children of primary school age, rural, middle quintile, both sexes (household survey data) (%)",8
"Total net attendance rate, lower secondary, male (%)",8
Pupil-trained teacher ratio in pre-primary education (headcount basis),8
"Completion rate, upper secondary education, urban, adjusted wealth parity index (WPIA)",8
"Government expenditure on lower secondary education, PPP$ (millions)",8
"Total net attendance rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)",8
"Total net attendance rate, lower secondary, adjusted wealth parity index (WPIA)",8
"Total net attendance rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)",8
"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)",8
"Completion rate, upper secondary education, male, adjusted wealth parity index (WPIA)",8
"Out-of-school rate for children of primary school age, urban, second quintile, male (household survey data) (%)",8
"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",8
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)",8
Capital expenditure as a percentage of total expenditure in tertiary public institutions (%),8
"Oceania: Students from Tonga, both sexes (number)",8
"Completion rate, primary education, urban, second quintile, male (%)",8
"Proportion of teachers with the minimum required qualifications in primary education, female (%)",8
"Completion rate, upper secondary education, urban, fourth quintile, male (%)",8
"Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)",8
"Initial household funding per tertiary student, constant PPP$",8
"Out-of-school rate for adolescents of lower secondary school age, second quintile, both sexes (household survey data) (%)",8
"Out-of-school rate for children of primary school age, both sexes (%)",8
LDSEV: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading;,8
"Completion rate, primary education, rural, male (%)",8
"Percentage of qualified teachers in upper secondary education, female (%)",8
"Percentage of qualified teachers in upper secondary education, both sexes (%)",8
Percentage of lower secondary schools providing life skills-based HIV and sexuality education,8
"Africa: Students from Mauritania, both sexes (number)",8
"Africa: Students from Mali, both sexes (number)",8
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female, adjusted location parity index (LPIA)",8
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, male (%)",8
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",8
"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)",7
"Completion rate, upper secondary education, urban, richest quintile, female (%)",7
Proportion of primary schools with access to basic drinking water (%),7
"Total net attendance rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)",7
"Out-of-school rate for adolescents of lower secondary school age, rural, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",7
"Literacy rate, population 25-64 years, both sexes (%)",7
"Harmonized Test Scores, Male",7
"Total net attendance rate, lower secondary, middle quintile, female (%)",7
"Harmonized Test Scores, Female",7
"Completion rate, upper secondary education, rural, middle quintile, both sexes (%)",7
"Total net attendance rate, lower secondary education, fourth quintile, male, adjusted location parity index (LPIA)",7
"Total net attendance rate, upper secondary, rural, second quintile, both sexes (%)",7
"Completion rate, lower secondary education, female, adjusted location parity index (LPIA)",7
"Expected Years of School, Male",7
"School age population, early childhood educational development programmes, male (number)",7
Initial government funding per upper secondary student as a percentage of GDP per capita,7
"Total net attendance rate, primary education, urban, middle quintile, adjusted gender parity index (GPIA)",7
"Completion rate, upper secondary education, urban, richest quintile, male (%)",7
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",7
"Out-of-school rate for adolescents of lower secondary school age, female, adjusted location parity index (household survey data) (LPIA)",7
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, both sexes (%)",7
Proportion of upper secondary schools with access to adapted infrastructure and materials for students with disabilities (%),7
"Out-of-school rate for children of primary school age, fourth quintile, both sexes (household survey data) (%)",7
"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",7
"Out-of-school rate for adolescents of lower secondary school age, urban, richest quintile, both sexes (household survey data) (%)",7
"Total net attendance rate, lower secondary education, rural, female, adjusted wealth parity index (WPIA)",7
"Out-of-school rate for children of primary school age, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",7
"Out-of-school rate for adolescents of lower secondary school age, urban, second quintile, both sexes (household survey data) (%)",7
"Adjusted net attendance rate, one year before the official primary entry age, urban, male  (%)",7
"Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, male (household survey data) (%)",7
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, male (household survey data) (%)",7
"Youth illiterate population, 15-24 years, female (number)",7
"Completion rate, lower secondary education, poorest quintile, male (%)",7
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, female (%)",7
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, female (%)",7
"Total net attendance rate, primary, middle quintile, both sexes (%)",7
Pupil-trained teacher ratio in primary education (headcount basis),7
"Out-of-school rate for adolescents of lower secondary school age, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",7
"Caribbean and Central America: Students from Costa Rica, both sexes (number)",7
"Adult literacy rate, population 15+ years, male (%)",7
"Enrolment in tertiary education, ISCED 6 programmes, male (number)",7
"Repetition rate in Grade 6 of primary education, male (%)",7
"Out-of-school rate for youth of upper secondary school age, second quintile, adjusted gender parity index (household survey data) (GPIA)",7
"Total net attendance rate, lower secondary, urban, fourth quintile, male (%)",7
"Total net attendance rate, lower secondary, rural, second quintile, male (%)",7
"Government expenditure on secondary education, US$ (millions)",7
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, both sexes (%)",7
"Asia: Students from Macao, Special Administrative Region of China, both sexes (number)",7
"Enrolment in lower secondary education, female (number)",7
"Completion rate, lower secondary education, middle quintile, male (%)",7
"Europe: Students from Spain, both sexes (number)",6
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, male (%)",6
"Total net attendance rate, upper secondary education, urban, second quintile, adjusted gender parity index (GPIA)",6
"Europe: Students from the Republic of Moldova, both sexes (number)",6
"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",6
"Total net attendance rate, upper secondary education, urban, adjusted wealth parity index (WPIA)",6
Fraction of Children Under 5 Not Stunted,6
"Expected Years of School, Female",6
"Adjusted net attendance rate, one year before the official primary entry age, adjusted location parity index (LPIA)",6
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, adjusted location parity index (LPIA)",6
"Europe: Students from San Marino, both sexes (number)",6
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted gender parity index (GPIA)",6
"Repeaters in primary education, all grades, female (number)",6
"Adult literacy rate, population 15+ years, female (%)",6
Population Age 10 for Reference Year 2019; Male,6
"Out-of-school rate for youth of upper secondary school age, urban, female, adjusted wealth parity index (household survey data) (WPIA)",6
"Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, female (household survey data) (%)",6
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)",6
SD = ANER; Female,6
"Completion rate, primary education, rural, both sexes (%)",6
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, male (%)",6
"Africa: Students from Eswatini, both sexes (number)",6
Teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),6
"Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, male (household survey data) (%)",6
"Out-of-school rate for adolescents of lower secondary school age, middle quintile, male, adjusted location parity index (household survey data) (LPIA)",6
"Out-of-school adolescents and youth of secondary school age, male (number)",6
"Out-of-school rate for children of primary school age, richest quintile, adjusted location parity index (household survey data) (LPIA)",6
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, male, adjusted location parity index (household survey data) (LPIA)",6
"Total net attendance rate, primary, fourth quintile, male (%)",6
"Total net attendance rate, primary, fourth quintile, both sexes (%)",6
"Total net attendance rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)",6
"Proportion of youth and adults who have transferred files between a computer and other devices, both sexes (%)",6
"Out-of-school rate for children of primary school age, richest quintile, female, adjusted location parity index (household survey data) (LPIA)",6
"Out-of-school rate for children of primary school age, urban, richest quintile, male (household survey data) (%)",6
"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)",6
"Completion rate, primary education, female, adjusted wealth parity index (WPIA)",6
"Government expenditure on tertiary education, US$ (millions)",6
"Completion rate, upper secondary education, urban, fourth quintile, both sexes (%)",6
"Total net attendance rate, upper secondary, rural, poorest quintile, male (%)",6
"Elderly literacy rate, population 65+ years, both sexes (%)",6
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male (%)",6
Non-teaching staff compensation as a percentage of total expenditure in public institutions (%),6
"Total net attendance rate, lower secondary, urban, richest quintile, male (%)",6
"Inbound mobility rate, male (%)",6
"Europe: Students from Denmark, both sexes (number)",6
"Completion rate, upper secondary education, rural, middle quintile, female (%)",6
"Completion rate, upper secondary education, rural, middle quintile, male (%)",6
"Out-of-school rate for children of primary school age, urban, richest quintile, both sexes (household survey data) (%)",6
"Mean years of schooling (ISCED 1 or higher), population 25+ years, male",6
"Out-of-school rate for youth of upper secondary school age, fourth quintile, male, adjusted location parity index (household survey data) (LPIA)",6
"North America: Students from the United States, both sexes (number)",6
"Completion rate, primary education, richest quintile, both sexes (%)",6
"Completion rate, lower secondary education, poorest quintile, female, adjusted location parity index (LPIA)",6
"Total net attendance rate, primary, urban, second quintile, female (%)",6
"Completion rate, primary education, urban, female (%)",6
"Total net attendance rate, primary, poorest quintile, both sexes (%)",6
"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)",6
"Out-of-school rate for children of primary school age, adjusted wealth parity index (household survey data) (WPIA)",6
"Total net attendance rate, primary education, female, adjusted location parity index (LPIA)",6
"Africa: Students from Guinea-Bissau, both sexes (number)",5
"Completion rate, primary education, urban, adjusted wealth parity index (WPIA)",5
"Out-of-school rate for youth of upper secondary school age, rural, adjusted gender parity index (household survey data) (GPIA)",5
"Out-of-school rate for youth of upper secondary school age, urban, middle quintile, both sexes (household survey data) (%)",5
"Out-of-school rate for youth of upper secondary school age, urban, second quintile, adjusted gender parity index (household survey data) (GPIA)",5
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)",5
"Africa: Students from Gabon, both sexes (number)",5
"Total net attendance rate, primary, urban, richest quintile, both sexes (%)",5
"Total net attendance rate, upper secondary, urban, richest quintile, male (%)",5
"Total net attendance rate, lower secondary education, urban, adjusted wealth parity index (WPIA)",5
"Total net attendance rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",5
"Out-of-school rate for children of primary school age, primary education, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)",5
"Oceania: Students from Palau, both sexes (number)",5
"Completion rate, primary education, second quintile, both sexes (%)",5
"Completion rate, primary education, second quintile, female, adjusted location parity index (LPIA)",5
LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,5
"Out-of-school rate for youth of upper secondary school age, fourth quintile, both sexes (household survey data) (%)",5
"Total net attendance rate, lower secondary, fourth quintile, male (%)",5
"Total net attendance rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",5
LDGAP: PIRLS 2011 for grade 4 using MPL Low (400 points) for reading;,5
LDSEV: PIRLS 2006 for grade 4 using MPL Low (400 points) for reading;,5
LDSEV: PIRLS 2006 for grade 4 using MPL Low (400 points) for reading; Male,5
"Total net attendance rate, lower secondary, rural, middle quintile, male (%)",5
LP = SD: ANER; LD: PIRLS 2006 for grade 4 using MPL Low (400 points) for reading;,5
LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,5
"Oceania: Students from Tuvalu, both sexes (number)",5
Government expenditure on upper secondary education as a percentage of GDP (%),5
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",5
"Completion rate, upper secondary education, second quintile, male (%)",5
"Completion rate, lower secondary education, urban, both sexes (%)",5
"Completion rate, lower secondary education, rural, fourth quintile, male (%)",5
"Completion rate, lower secondary education, rural, male, adjusted wealth parity index (WPIA)",5
"South America: Students from unknown countries, both sexes (number)",5
"Survival rate to the last grade of primary education, female (%)",5
"Out-of-school rate for adolescents of lower secondary school age, urban, female, adjusted wealth parity index (household survey data) (WPIA)",5
"Teachers in tertiary education ISCED 6, 7 and 8 programmes, both sexes (number)",5
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, both sexes (household survey data) (%)",5
"Out-of-school rate for adolescents of lower secondary school age, urban, both sexes (household survey data) (%)",5
"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)",5
"Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, both sexes (household survey data) (%)",5
"Proportion of youth and adults who have copied or moved a file or folder, female (%)",5
"Total net attendance rate, primary, male (%)",5
"Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant PPP$ (millions)",5
LD = PIRLS 2006 for grade 4 using MPL Low (400 points) for reading;,5
"Completion rate, upper secondary education, urban, second quintile, male (%)",5
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)",5
"Gross enrolment ratio, post-secondary non-tertiary, male (%)",5
"Completion rate, upper secondary education, poorest quintile, adjusted location parity index (LPIA)",5
"Gross enrolment ratio, primary and lower secondary, female (%)",5
Pupil-trained teacher ratio in secondary education (headcount basis),5
"Completion rate, primary education, urban, poorest quintile, male (%)",5
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",5
LDSEV: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,5
LDGAP: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Female,5
"Completion rate, primary education, rural, male, adjusted wealth parity index (WPIA)",5
"Percentage of graduates from tertiary education graduating from Services programmes, both sexes (%)",5
"Asia: Students from Hong Kong, Special Administrative Region of China, both sexes (number)",5
"Completion rate, upper secondary education, richest quintile, adjusted gender parity index (GPIA)",5
"Total net attendance rate, primary education, rural, female, adjusted wealth parity index (WPIA)",5
"Total net attendance rate, primary education, middle quintile, female, adjusted location parity index (LPIA)",5
LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading;,5
"Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, both sexes (%)",5
"Out-of-school rate for youth of upper secondary school age, second quintile, male (household survey data) (%)",5
"Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, both sexes (%)",5
"Europe: Students from Slovakia, both sexes (number)",5
"Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, female (%)",5
"Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, male (%)",5
"Caribbean and Central America: Students from Grenada, both sexes (number)",5
"Out-of-school rate for youth of upper secondary school age, rural, fourth quintile, male (household survey data) (%)",5
SD = ANER;,5
"Educational attainment rate, completed upper secondary education or higher, population 25+ years, female (%)",5
"Educational attainment rate, completed upper secondary education or higher, population 25+ years, male (%)",5
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",5
"Total net attendance rate, upper secondary, rural, richest quintile, both sexes (%)",4
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, both sexes (%)",4
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, female (%)",4
"Educational attainment rate, completed primary education or higher, population 25+ years, both sexes (%)",4
"Gross attendance ratio for tertiary education, richest quintile, male (%)",4
"Government expenditure on tertiary education, PPP$ (millions)",4
"Probability of Survival to Age 5, Male",4
Proportion of primary schools with basic handwashing facilities (%),4
"Total net attendance rate, upper secondary, adjusted wealth parity index (WPIA)",4
"Total net attendance rate, upper secondary, poorest quintile, female (%)",4
"Total net attendance rate, primary, second quintile, both sexes (%)",4
"Total net attendance rate, primary, urban, female (%)",4
"Total net attendance rate, upper secondary education, urban, adjusted gender parity index (GPIA)",4
"Total net attendance rate, upper secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)",4
"Total net attendance rate, upper secondary education, urban, middle quintile, adjusted gender parity index (GPIA)",4
"Total net attendance rate, upper secondary, adjusted location parity index (LPIA)",4
"Total net attendance rate, upper secondary, urban, poorest quintile, female (%)",4
"Total net attendance rate, upper secondary, rural, second quintile, female (%)",4
"Total net attendance rate, upper secondary, rural, second quintile, male (%)",4
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male, adjusted location parity index (LPIA)",4
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted location parity index (LPIA)",4
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, female (%)",4
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male (%)",4
"Caribbean and Central America: Students from Antigua and Barbuda, both sexes (number)",4
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, female (household survey data) (%)",4
Population Age 0516 for Reference Year 2019; Female,4
Population Age 10 for Reference Year 2019;,4
"Out-of-school rate for adolescents of lower secondary school age, adjusted wealth parity index (household survey data) (WPIA)",4
"Out-of-school rate for adolescents of lower secondary school age, middle quintile, female (household survey data) (%)",4
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, female (household survey data) (%)",4
"Completion rate, primary education, urban, richest quintile, female (%)",4
"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), male (%)",4
"Out-of-school rate for children of primary school age, richest quintile, female (household survey data) (%)",4
"Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, male (household survey data) (%)",4
"Out-of-school rate for adolescents of lower secondary school age, rural, adjusted gender parity index (household survey data) (GPIA)",4
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, male (household survey data) (%)",4
"Survival Rate from Age 15-60, Female",4
"Survival Rate from Age 15-60, Male",4
"Teacher attrition rate from primary education, both sexes (%)",4
"Total net attendance rate, lower secondary education, rural, adjusted gender parity index (GPIA)",4
"Completion rate, lower secondary education, urban, middle quintile, female (%)",4
"Out-of-school rate for children of primary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for children of primary school age, middle quintile, female, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for children of primary school age, rural, fourth quintile, both sexes (household survey data) (%)",4
"Out-of-school rate for children of primary school age, poorest quintile, male (household survey data) (%)",4
"Total net attendance rate, lower secondary education, middle quintile, male, adjusted location parity index (LPIA)",4
"Total net attendance rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)",4
"Out-of-school rate for adolescents of lower secondary school age, rural, fourth quintile, both sexes (household survey data) (%)",4
"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",4
"Inbound internationally mobile students from North America and Western Europe, both sexes (number)",4
Human Capital Index (HCI) (scale 0-1),4
"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",4
"Total net attendance rate, lower secondary, middle quintile, male (%)",4
"Total net attendance rate, lower secondary, urban, poorest quintile, female (%)",4
