INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Year,Value
SE.CLO.15Y.LDGAP.R.PS.2018.5,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",_T,_T,_T,WB_EDSTATS_Q5,SE.CLO.15Y.LDGAP.R.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for reading,XKX,Kosovo,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",2018,0.0026907238643616
SE.CLO.15Y.LDGAP.S.PS.2018.R,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Rural",_T,RUR,_T,_Z,SE.CLO.15Y.LDGAP.S.PS,NUMBER,NUMBER,Learning Deprivation Gap;PISA for grade 15Y using MPL Level 2 for science,XKX,Kosovo,"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Rural",2018,0.0021766216959804
SE.CLO.4.PRF.M.TMS.2019.U,"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",_T,URB,_T,_Z,SE.CLO.4.PRF.M.TMS,SHARE,NUMBER,Above Proficiency;TIMSS for grade 4 using MPL Low (400 points) for math,XKX,Kosovo,"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",2019,0.7330490946769714
