Income group,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
High income,73,0.13645340282345192,0.6290316732104747,0.1342945256406873,0.6027397260273972,0.7123287671232876,0.7123287671232876
Low income,21,-0.3310574064269492,-1.2718114290206002,-0.3431640981769152,0.0,0.0,0.0
Lower middle income,50,-0.21059943165925385,-0.4955392106819811,-0.13777517455613222,0.14,0.04,0.06
Upper middle income,50,-0.04666348940147979,-0.0507549703554585,-0.017691593515540126,0.3,0.24,0.22
