Income group,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
High income,73,0.13645340282345178,0.6290316732104695,0.13429452564068586,0.6027397260273972,0.7123287671232876,0.7123287671232876
Low income,21,-0.33105740642694925,-1.271811429020607,-0.34316409817691695,0.0,0.0,0.0
Lower middle income,50,-0.2105994316592538,-0.4955392106819877,-0.13777517455613392,0.14,0.04,0.06
Upper middle income,50,-0.04666348940147973,-0.05075497035546458,-0.017691593515541667,0.3,0.24,0.22
