Region,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
East Asia & Pacific,32,-0.17789419438461088,0.1746584910791722,0.018729084925897824,0.3125,0.4375,0.40625
Europe & Central Asia,52,0.2853565384160158,0.6673860427802215,0.1464377379599923,0.7115384615384616,0.7307692307692307,0.7307692307692307
Latin America & Caribbean,37,-0.23339334466418338,-0.12644795045558863,-0.04060718814471802,0.1891891891891892,0.13513513513513514,0.13513513513513514
"Middle East, North Africa, Afghanistan & Pakistan",21,0.06943762253118445,-0.20090780343496778,-0.055521622520134345,0.3333333333333333,0.23809523809523808,0.2857142857142857
North America,3,0.2688902333735515,0.8693194510385949,0.17638228540735781,0.6666666666666666,0.6666666666666666,0.6666666666666666
South Asia,6,-0.1422613015869587,-0.34868661190439926,-0.09100109042719906,0.16666666666666666,0.0,0.0
Sub-Saharan Africa,45,-0.25520391030980993,-0.9241507414038783,-0.24619984839390144,0.044444444444444446,0.044444444444444446,0.044444444444444446
