INDICATOR,Indicator name,cov,varx,slope_per_year
HD.HCI.HLOS.MA,"Harmonized Test Scores, Male",0.10068257649737689,2.3333333333333335,0.04314967564173295
HD.HCI.HLOS,Harmonized Test Scores,-1.1755981445311932,2.3333333333333335,-0.5038277762276542
HD.HCI.HLOS.FE,"Harmonized Test Scores, Female",-2.4843292236328125,2.3333333333333335,-1.0647125244140625
