Country name,avg_all_indicators_population_mad,n_roots_used
Afghanistan,1.0643860457468215,9
Albania,-0.24627848417302262,26
Algeria,0.2752919965561515,31
Angola,-1.5030844588211798,2
Antigua and Barbuda,-0.11465488539972939,2
Argentina,-0.11255898427579437,28
Armenia,0.2873378359877278,31
Australia,0.31549158615089373,37
Austria,-0.10457664013673622,31
Azerbaijan,0.015575677446923205,31
Bahrain,0.3715980906864358,28
Bangladesh,0.6454316745587549,9
Belarus,0.24354149327127292,11
Belgium,0.026728206655833916,37
Belize,0.9182557179599428,10
Benin,0.3943622747858119,25
Bhutan,-0.5819553892002239,2
Bosnia and Herzegovina,-0.48550298010390874,23
Botswana,0.5014364026289821,36
Brazil,-0.14809209579322039,25
Brunei Darussalam,-0.5519629591970635,11
Bulgaria,0.13669740665962288,37
Burkina Faso,0.6048492962081295,25
Burundi,0.058348305724065165,24
Cambodia,0.1391421613908048,27
Cameroon,0.6500695278002137,25
Canada,0.22378097644183895,37
Central African Republic,-1.6245710261791348,2
Chad,0.7605154963510337,23
Chile,-0.15287924694005722,40
China,0.5053106981778288,9
Colombia,0.11692773318082761,38
Comoros,0.44576630092753877,9
"Congo, Dem. Rep.",0.6575933000096408,22
"Congo, Rep.",0.5271836168780465,25
Costa Rica,-0.40552453059921867,25
Croatia,-0.26537645468194543,31
Cuba,0.4690319123752704,6
Cyprus,-0.041299167178221005,28
Czechia,-0.05850389892623642,37
C�te d�Ivoire,0.5898752875444727,25
Denmark,0.032780480249849385,34
Dominica,-0.09721178069006044,2
Dominican Republic,0.02486759381059221,25
East Asia & Pacific,0.19849878177377797,5
East Asia & Pacific (excluding high income),0.2500387522801748,5
Ecuador,0.5688221951216809,25
"Egypt, Arab Rep.",0.9211830575395679,19
El Salvador,0.7917302139199056,25
Estonia,0.7816204918990275,17
Eswatini,-0.9207880087944462,5
Ethiopia,0.9161977194276102,9
Europe & Central Asia,-0.2249293763573371,5
Europe & Central Asia (excluding high income),-0.06435368367986641,5
Fiji,-0.45442439921255373,2
Finland,0.349086883010613,37
France,-0.037462975055194025,37
Gabon,-0.07138640745663649,25
"Gambia, The",-1.1688980463243095,2
Georgia,-0.2448837200048851,37
Germany,0.1961642356421185,31
Ghana,0.3027457215587456,7
Greece,-0.08511040873804049,25
Grenada,-0.22883930893667775,2
Guatemala,0.2880278639039403,25
Guinea,0.819222121411599,22
Guyana,-0.7699583814241774,2
Haiti,-0.9216172700159575,2
High income,-0.18387758429584164,5
Honduras,0.3482219301858851,40
"Hong Kong SAR, China",0.3627280765843843,37
Hungary,0.037409414456784244,37
IBRD only,0.5952650976627722,5
IDA & IBRD total,0.9715978493825869,3
IDA blend,1.6188240811653283,5
IDA only,1.5644327537838614,5
Iceland,0.002696022754990402,28
India,0.9523947441253101,9
Indonesia,0.2891536124844428,36
"Iran, Islamic Rep.",0.48487240237620083,28
Iraq,-1.2393165659601202,2
Ireland,0.1359325272406795,37
Israel,0.19620075823485517,31
Italy,-0.07712964317159281,37
Jamaica,-0.39005514964723953,2
Japan,0.33407214544938324,34
Jordan,0.3169699007854192,27
Kazakhstan,-0.3871562418415987,37
Kenya,0.6568632428869308,10
Kiribati,-0.3641475161904246,2
"Korea, Rep.",0.29793195080805607,34
Kosovo,-0.42084696339348887,25
Kuwait,0.9600324889189464,27
Kyrgyz Republic,-0.536959033192051,18
Lao PDR,0.6823273170469026,17
Latin America & Caribbean,0.6758387416981759,5
Latin America & Caribbean (excluding high income),0.730421543006372,5
Latvia,-0.1964824126715606,37
Lebanon,-0.4644899938480127,17
Lesotho,0.047276569024671755,10
Liberia,-2.1036801573340815,2
Liechtenstein,0.6013225777976164,9
Lithuania,-0.29400196200807316,37
Low income,1.702777742211738,5
Lower middle income,1.0187980390366211,5
Luxembourg,-0.37169996034690994,25
"Macao SAR, China",0.3778397685493797,25
Madagascar,0.6148219483468712,24
Malawi,-0.41293274448560713,5
Malaysia,-0.43411779512725523,33
Mali,0.7194626588003946,9
Malta,0.06099744691884696,43
Marshall Islands,-0.990759972368031,2
Mauritania,0.6022379217597829,9
Mauritius,-0.23354638117259344,21
Mexico,-0.18655232077901154,25
"Micronesia, Fed. Sts.",-0.7255209805730919,2
"Middle East, North Africa, Afghanistan and Pakistan",0.9734368246632163,5
"Middle East, North Africa, Afghanistan and Pakistan (excluding high income)",1.0217976857057987,5
Moldova,-0.18805082342810572,37
Mongolia,0.3183929193219253,24
Montenegro,-0.21641082806160844,26
Morocco,0.32660845647444103,37
Mozambique,-0.5974882754033686,5
Myanmar,0.11793302499691789,17
Namibia,-0.43316983547825466,5
Nauru,-0.8320793661027562,2
Nepal,-0.5371245162479644,2
Netherlands,-0.14295778412798968,37
New Zealand,0.1839556897696611,52
Nicaragua,0.357277347901145,16
Niger,0.8928476520468925,22
Nigeria,-1.4531271204183414,2
North America,-0.35450493896739316,5
North Macedonia,0.21329300152387334,37
Norway,-0.11695911028937399,52
Oman,0.901097244260495,26
Pakistan,0.7931199035267666,15
