Lending category,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Blend,19,-0.22280625438232357,-0.41025654590355787,-0.10811257459519379,0.10526315789473684,0.05263157894736842,0.05263157894736842
IBRD,64,0.07520368922696327,0.03784298841958232,0.004565284730526541,0.375,0.375,0.375
IDA,55,-0.3933995299861456,-0.8386041071422086,-0.231413273593434,0.01818181818181818,0.0,0.0
