Income group,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
High income,77,0.14630400607619115,-0.017893298984510822,-0.019776995686152876,0.5974025974025974,0.3116883116883117,0.2727272727272727
Low income,24,-0.33583686303829835,0.119760480201819,0.056670086090719794,0.0,0.375,0.4583333333333333
Lower middle income,50,-0.17536400166438715,0.08743226436555222,0.02995272542041649,0.12,0.48,0.48
Upper middle income,52,-0.03728159947087735,-0.0122460713390528,-0.006390546993351203,0.3076923076923077,0.21153846153846154,0.23076923076923078
