Income group,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
High income,77,0.07684424199170871,-0.01111420236654775,-0.010273646944656224,0.5974025974025974,0.35064935064935066,0.33766233766233766
Low income,24,-0.40770622057807326,-0.03634663680887073,-0.015173676797897932,0.0,0.25,0.2916666666666667
Lower middle income,50,-0.2062436298475166,0.04302118584456358,0.006463248741093488,0.12,0.48,0.48
Upper middle income,52,-0.07675644022227326,-0.08041467192991701,-0.02339193311085001,0.3269230769230769,0.21153846153846154,0.21153846153846154
