Region,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
East Asia & Pacific,33,-0.2647454521297316,0.027368053213617793,-0.010764114554670853,0.3333333333333333,0.42424242424242425,0.42424242424242425
Europe & Central Asia,52,0.26732604636371404,0.010181759060921584,-9.281879810418249E-5,0.7115384615384616,0.28846153846153844,0.2692307692307692
Latin America & Caribbean,40,-0.22286785138174414,-0.11412043929312805,-0.027798274894041224,0.225,0.3,0.3
"Middle East, North Africa, Afghanistan & Pakistan",23,0.038120761987646794,-0.028818279113017587,-0.014046365638589292,0.30434782608695654,0.43478260869565216,0.43478260869565216
North America,3,0.2453646777960485,-0.024816437416220083,-0.02274701210627909,0.6666666666666666,0.3333333333333333,0.3333333333333333
South Asia,6,-0.13335541828233224,0.1811094777179532,0.04369282292518815,0.16666666666666666,0.6666666666666666,0.6666666666666666
Sub-Saharan Africa,48,-0.3108306188749839,-0.015891994351421582,-0.00824673040402796,0.041666666666666664,0.2708333333333333,0.2916666666666667
