Region,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
East Asia & Pacific,33,-0.17430154391713695,0.017747551017092966,-0.011029779979217974,0.30303030303030304,0.3939393939393939,0.42424242424242425
Europe & Central Asia,52,0.28970001897373787,0.007793150879297138,-0.0031298979416541288,0.7115384615384616,0.25,0.21153846153846154
Latin America & Caribbean,40,-0.14147390975951174,-0.04084620504736367,-0.01829403600523031,0.225,0.325,0.325
"Middle East, North Africa, Afghanistan & Pakistan",23,0.048917879858562476,0.0492579214030059,0.012147299140477259,0.30434782608695654,0.43478260869565216,0.43478260869565216
North America,3,0.23270397307838195,0.001805275401116302,-0.037857242487927135,0.6666666666666666,0.3333333333333333,0.3333333333333333
South Asia,6,-0.029950750791235523,0.20063330664944654,0.07400673470964592,0.16666666666666666,0.6666666666666666,0.6666666666666666
Sub-Saharan Africa,48,-0.2586155401160251,0.08144593583706798,0.03734765068995596,0.0625,0.3125,0.3333333333333333
