INDICATOR,skew_before,skew_after,abs_skew_before,abs_skew_after
HD.HCI.HLOS,0.2701973817626067,0.2701973817626759,0.2701973817626067,0.2701973817626759
HD.HCI.HLOS.FE,0.21178341214067378,0.2117834121407418,0.21178341214067378,0.2117834121407418
HD.HCI.HLOS.MA,0.23892707173215455,0.23892707173213726,0.23892707173215455,0.23892707173213726
HD.HCI.LAYS,-0.554971428148344,-0.5267211953843189,0.554971428148344,0.5267211953843189
HD.HCI.LAYS.FE,-0.6805657796937921,-0.6549303786482323,0.6805657796937921,0.6549303786482323
HD.HCI.LAYS.MA,-0.4145329656866352,-0.3911016404062242,0.4145329656866352,0.3911016404062242
SE.CLO.15Y.LDGAP.M.PS.2000.1,0.8149681266020015,0.9884139904872813,0.8149681266020015,0.9884139904872813
SE.CLO.15Y.LDGAP.M.PS.2000.2,1.2080226336591153,1.1618308932472585,1.2080226336591153,1.1618308932472585
SE.CLO.15Y.LDGAP.M.PS.2000.3,1.0235295397014579,0.9103870645879153,1.0235295397014579,0.9103870645879153
SE.CLO.15Y.LDGAP.M.PS.2000.4,0.4774787611303773,1.0763979123713139,0.4774787611303773,1.0763979123713139
SE.CLO.15Y.LDGAP.M.PS.2000.5,1.0615052203503637,1.0615052203503637,1.0615052203503637,1.0615052203503637
SE.CLO.15Y.LDGAP.M.PS.2000.A,0.9002339902488748,0.9002339902488729,0.9002339902488748,0.9002339902488729
SE.CLO.15Y.LDGAP.M.PS.2000.F,1.119564338459523,1.1942819352633012,1.119564338459523,1.1942819352633012
SE.CLO.15Y.LDGAP.M.PS.2000.M,0.7286361451642998,1.1397262334801708,0.7286361451642998,1.1397262334801708
SE.CLO.15Y.LDGAP.M.PS.2000.R,1.279665978379474,1.2421996366033492,1.279665978379474,1.2421996366033492
SE.CLO.15Y.LDGAP.M.PS.2000.U,1.0217492657328604,1.0217492657328584,1.0217492657328604,1.0217492657328584
SE.CLO.15Y.LDGAP.M.PS.2006.1,1.1957677432899472,1.128831557648892,1.1957677432899472,1.128831557648892
SE.CLO.15Y.LDGAP.M.PS.2006.2,0.6686953183380833,0.5309494573620374,0.6686953183380833,0.5309494573620374
SE.CLO.15Y.LDGAP.M.PS.2006.3,0.8342721624328889,0.8342721624328872,0.8342721624328889,0.8342721624328872
SE.CLO.15Y.LDGAP.M.PS.2006.4,0.1280182377941422,-0.10696734979941468,0.1280182377941422,0.10696734979941468
SE.CLO.15Y.LDGAP.M.PS.2006.5,0.43684770903658343,0.2939412672828267,0.43684770903658343,0.2939412672828267
SE.CLO.15Y.LDGAP.M.PS.2006.A,0.43496018220130167,0.27895822270329,0.43496018220130167,0.27895822270329
SE.CLO.15Y.LDGAP.M.PS.2006.F,0.3965793401695024,0.22905298569644883,0.3965793401695024,0.22905298569644883
SE.CLO.15Y.LDGAP.M.PS.2006.M,0.5375239782611204,0.39992429339636637,0.5375239782611204,0.39992429339636637
SE.CLO.15Y.LDGAP.M.PS.2006.R,0.9266808136272667,0.9746347399113368,0.9266808136272667,0.9746347399113368
SE.CLO.15Y.LDGAP.M.PS.2006.U,0.11116684962854943,-0.09363499395163268,0.11116684962854943,0.09363499395163268
SE.CLO.15Y.LDGAP.M.PS.2009.1,0.9515476158120267,0.9842039815840489,0.9515476158120267,0.9842039815840489
SE.CLO.15Y.LDGAP.M.PS.2009.2,0.825599303793851,1.1064838195999496,0.825599303793851,1.1064838195999496
SE.CLO.15Y.LDGAP.M.PS.2009.3,0.6830755757447539,0.6830755757447522,0.6830755757447539,0.6830755757447522
SE.CLO.15Y.LDGAP.M.PS.2009.4,0.5318696783021281,0.5318696783021281,0.5318696783021281,0.5318696783021281
SE.CLO.15Y.LDGAP.M.PS.2009.5,0.6928408979072429,0.6044316186423903,0.6928408979072429,0.6044316186423903
SE.CLO.15Y.LDGAP.M.PS.2009.A,0.6737651098921392,0.673765109892141,0.6737651098921392,0.673765109892141
SE.CLO.15Y.LDGAP.M.PS.2009.F,0.370761016748557,0.37076101674855794,0.370761016748557,0.37076101674855794
SE.CLO.15Y.LDGAP.M.PS.2009.M,0.6166308091699872,0.6357427750238203,0.6166308091699872,0.6357427750238203
SE.CLO.15Y.LDGAP.M.PS.2009.R,1.1500053033924433,1.349134214219055,1.1500053033924433,1.349134214219055
SE.CLO.15Y.LDGAP.M.PS.2009.U,0.3453294019243311,0.345329401924332,0.3453294019243311,0.345329401924332
SE.CLO.15Y.LDGAP.M.PS.2012.1,0.9463253491665756,0.7842168658240792,0.9463253491665756,0.7842168658240792
SE.CLO.15Y.LDGAP.M.PS.2012.2,0.5960083754684586,0.6110708756412815,0.5960083754684586,0.6110708756412815
SE.CLO.15Y.LDGAP.M.PS.2012.3,0.46939816490503794,0.46939816490503977,0.46939816490503794,0.46939816490503977
SE.CLO.15Y.LDGAP.M.PS.2012.4,0.2805177358679458,0.12996072206732773,0.2805177358679458,0.12996072206732773
SE.CLO.15Y.LDGAP.M.PS.2012.5,0.4836352037157375,0.443651824343302,0.4836352037157375,0.443651824343302
SE.CLO.15Y.LDGAP.M.PS.2012.A,0.2843026985271255,0.28430269852712636,0.2843026985271255,0.28430269852712636
SE.CLO.15Y.LDGAP.M.PS.2012.F,0.4794215573245651,0.34603193828195483,0.4794215573245651,0.34603193828195483
SE.CLO.15Y.LDGAP.M.PS.2012.M,0.5953104977983843,0.5953104977983853,0.5953104977983843,0.5953104977983853
SE.CLO.15Y.LDGAP.M.PS.2012.R,1.1782544634478933,1.1064704134470875,1.1782544634478933,1.1064704134470875
SE.CLO.15Y.LDGAP.M.PS.2012.U,0.2294431260632566,0.2294431260632576,0.2294431260632566,0.2294431260632576
SE.CLO.15Y.LDGAP.M.PS.2015.1,0.8483421951477815,0.6974184843854099,0.8483421951477815,0.6974184843854099
SE.CLO.15Y.LDGAP.M.PS.2015.2,0.314516617840741,0.19159693431763497,0.314516617840741,0.19159693431763497
SE.CLO.15Y.LDGAP.M.PS.2015.3,0.21997066584681163,0.13575814811341616,0.21997066584681163,0.13575814811341616
SE.CLO.15Y.LDGAP.M.PS.2015.4,-0.013447065536174967,-0.11592704625383907,0.013447065536174967,0.11592704625383907
SE.CLO.15Y.LDGAP.M.PS.2015.5,0.6657025562336029,0.6107810187263123,0.6657025562336029,0.6107810187263123
SE.CLO.15Y.LDGAP.M.PS.2015.A,0.2855995827392204,0.0719521871741164,0.2855995827392204,0.0719521871741164
SE.CLO.15Y.LDGAP.M.PS.2015.F,0.22971204523173316,-0.2672582009471145,0.22971204523173316,0.2672582009471145
SE.CLO.15Y.LDGAP.M.PS.2015.M,0.4369045131900102,0.31008394959111085,0.4369045131900102,0.31008394959111085
SE.CLO.15Y.LDGAP.M.PS.2015.R,1.508503630290692,1.501546657401669,1.508503630290692,1.501546657401669
SE.CLO.15Y.LDGAP.M.PS.2015.U,0.09628640472718106,-0.2076733817985751,0.09628640472718106,0.2076733817985751
