Region,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
East Asia & Pacific,32,-0.1778941943846109,0.17465849107916528,0.018729084925896054,0.3125,0.4375,0.40625
Europe & Central Asia,52,0.2853565384160158,0.667386042780216,0.14643773795999085,0.7115384615384616,0.7307692307692307,0.7307692307692307
Latin America & Caribbean,37,-0.23339334466418346,-0.12644795045559357,-0.04060718814471931,0.1891891891891892,0.13513513513513514,0.13513513513513514
"Middle East, North Africa, Afghanistan & Pakistan",21,0.06943762253118453,-0.20090780343497425,-0.055521622520135934,0.3333333333333333,0.23809523809523808,0.2857142857142857
North America,3,0.26889023337355145,0.8693194510385899,0.1763822854073567,0.6666666666666666,0.6666666666666666,0.6666666666666666
South Asia,6,-0.14226130158695868,-0.34868661190440475,-0.09100109042720045,0.16666666666666666,0.0,0.0
Sub-Saharan Africa,45,-0.2552039103098098,-0.924150741403885,-0.24619984839390316,0.044444444444444446,0.044444444444444446,0.044444444444444446
