economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
SYC,Seychelles,Sub-Saharan Africa,High income,IBRD,-0.29386928354697217,106,0.3477288123143998,7,3.751224080674344,0.09269742485015446
LUX,Luxembourg,Europe & Central Asia,High income,,0.2630293572394943,110,0.7750430464552626,7,4.30812272146081,0.17990273178486865
NLD,Netherlands,Europe & Central Asia,High income,,0.568473688992004,96,1.1487118596394466,7,4.61356705321332,0.2489856214053237
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.40835184300923527,92,-0.05999918991151965,7,4.453445207230551,-0.01347253353742981
BLZ,Belize,Latin America & Caribbean,Upper middle income,Blend,-0.48552366588391915,98,-0.2028564888435849,1,3.559569698337397,-0.0569890481252088
BDI,Burundi,Sub-Saharan Africa,Low income,IDA,-0.32040615576916115,85,-0.44780048398582856,7,3.724687208452155,-0.12022499042863742
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,IDA,-0.15951145450009843,79,-0.702453391111115,7,3.8855819097212176,-0.18078460509445665
IND,India,South Asia,Lower middle income,IBRD,0.6136635867212782,106,-0.21694291593303097,7,4.658756950942594,-0.04656669541198913
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,-0.1776651164671143,88,-0.4483589821489069,6,3.867428247754202,-0.11593207512234181
CYM,Cayman Islands,Latin America & Caribbean,High income,,-0.8466632368442164,74,-0.2028564888435849,1,3.1984301273771,-0.06342376752495735
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Blend,0.22044061939793438,110,0.16989903792231636,5,4.2655339836192505,0.03983066096173948
CZE,Czechia,Europe & Central Asia,High income,,0.5943158381854218,110,1.0497446385456883,7,4.639409202406738,0.2262668785502092
TGO,Togo,Sub-Saharan Africa,Low income,IDA,-0.2398687501683248,110,-0.5523196178597608,7,3.8052246140529915,-0.14514770450606287
DEU,Germany,Europe & Central Asia,High income,,1.142087265365902,94,1.1962327604867509,7,5.1871806295872185,0.23061328415354293
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,IBRD,-0.17387950093148205,81,0.5186589050063771,7,3.8712138632898343,0.13397836526799645
SLV,El Salvador,Latin America & Caribbean,Upper middle income,IBRD,-0.055296205272501564,110,0.11209770495465429,7,3.989797158948815,0.028096091226900488
UKR,Ukraine,Europe & Central Asia,Upper middle income,IBRD,0.5968346792177197,83,0.7003753043295042,7,4.6419280434390355,0.150880258757872
ASM,American Samoa,East Asia & Pacific,High income,,-0.9599079742867787,34,-0.2028564888435849,1,3.0851853899345376,-0.06575179874292389
BEL,Belgium,Europe & Central Asia,High income,,0.6859347502083851,105,1.0832727905241206,7,4.7310281144297015,0.22897196218727248
SVN,Slovenia,Europe & Central Asia,High income,,0.21348901470843912,110,1.12438526634784,7,4.258582378929756,0.2640280652808258
RUS,Russian Federation,Europe & Central Asia,High income,IBRD,0.8269036397873618,67,1.01117840770571,7,4.871997004008678,0.20754906188852593
AGO,Angola,Sub-Saharan Africa,Lower middle income,IBRD,-0.1611257589067601,67,-1.6280072486176345,6,3.883967605314556,-0.419160872091204
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA,-1.1399837594824003,28,-1.0972499169778467,7,2.905109604738916,-0.37769656442151933
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.0338250614493003,99,-0.49637369715992125,7,4.078918425670617,-0.12169247956419041
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.565860045314569,90,0.7984458713814705,7,4.6109534095358855,0.17316285819115182
THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,0.3094122516989184,98,0.2214268634341324,7,4.354505615920234,0.05085005806964344
